発売日,ハード,タイトル,メモリ,容量(bit),価格,ジャンル,ジョブカテゴリ,カウント
1999-03-04,WS,Armored Unit,0,0,🚧,SLG,0,0
1999-03-04,WS,競争馬育成シミュレーション KEIBA,0,0,🚧,SLG,0,0
1999-03-04,WS,謎王 Pocket,0,0,🚧,QIZ,0,0
1999-03-04,WS,TURNTABLIST -DJバトル-,0,0,🚧,ACT,0,0
1999-03-04,WS,サイドポケット for WonderSwan,0,0,🚧,SPT,0,0
1999-03-04,WS,Kissより・・・ ～Seaside serenade～,0,0,🚧,ADV,0,0
1999-03-04,WS,カードキャプターさくら ～さくらとふしぎなクロウカード～,0,0,🚧,RPG,0,0
1999-03-04,WS,BUFFERS EVOLUTION,0,0,🚧,RCG,0,0
1999-03-04,WS,CLOCK TOWER  for WonderSwan,0,0,🚧,ADV,0,0
1999-03-04,WS,FEVER  for WondaerSwan,0,0,🚧,SLG,0,0
1999-03-04,WS,たれぱんだのぐんぺい,0,0,🚧,PZL,0,0
1999-03-04,WS,デジモンアドベンチャー アノードテイマー,0,0,🚧,RPG,0,0
1999-03-04,WS,卒業 for WonderSwan,0,0,🚧,SLG,0,0
1999-03-04,WS,伝記カードバトル  「妖符魔界」菊地秀行,0,0,🚧,ACT,0,0
1999-03-04,WS,D's Garage21公募ゲームたねをまく鳥,0,0,🚧,PZL,0,0
1999-03-04,WS,森田将棋 for WonderSwan,0,0,🚧,TBL,0,0
1999-03-04,WS,鉄人28号,0,0,🚧,ETC,0,0
1999-03-04,WS,SDガンダム ガシャポン戦記－エピソード１－,0,0,🚧,SLG,0,0
1999-03-04,WS,爆走デコトラ伝説  for WonderSwan,0,0,🚧,RCG,0,0
1999-03-04,WS,おーちゃんのお絵かきロジック,0,0,🚧,PZL,0,0
1999-03-04,WS,どこでもハムスター,0,0,🚧,ETC,0,0
1999-03-04,WS,五目並べ＆リバーシ  登龍門,0,0,🚧,TBL,0,0
1999-03-04,WS,デジモンアドベンチャー カソードテイマー,0,0,🚧,RPG,0,0
1999-03-04,WS,うずまき  ～電視怪奇篇～,0,0,🚧,NOV,0,0
1999-03-04,WS,超兄貴 男の魂札,0,0,🚧,RPG,0,0
1999-03-04,WS,花札しようよ,0,0,🚧,TBL,0,0
1999-03-04,WS,FISHING FREAKS  BASS RISE  FOR WONDER SWAN,0,0,🚧,SPT,0,0
1999-03-04,WS,仙界伝  ～TVアニメーション仙界伝封神演義より～,0,0,🚧,RPG,0,0
1999-03-04,WS,対局囲碁　平成棋院,0,0,🚧,TBL,0,0
1999-03-04,WS,誕生 ～ Debut ～ for WonderSwan,0,0,🚧,SLG,0,0
1999-03-04,WS,うずまき  ～呪いシミュレーション～,0,0,🚧,SLG,0,0
1999-03-04,WS,ラングリッサーミレニアム WS  ～The Last Century～,0,0,🚧,RPG,0,0
1999-03-04,WS,線脳 MILLENNIUM,0,0,🚧,PZL,0,0
1999-03-04,WS,ファイナルラップ2000,0,0,🚧,RCG,0,0
1999-03-04,WS,マクロス  ～トゥルー・ラブソング～,0,0,🚧,SLG,0,0
1999-03-04,WS,メタコミセラピー  ねぇ聞いて!,0,0,🚧,ETC,0,0
1999-03-04,WS,スーパーロボット大戦 COMPACT2 第1部　地上激動編,0,0,🚧,RPG,0,0
1999-03-04,WS,燃えろ!!プロ野球 ルーキーズ,0,0,🚧,SLG,0,0
1999-03-04,WS,ポケットファイター,0,0,🚧,ACT,0,0
1999-03-04,WS,三國志 II　for WonderSwan,0,0,🚧,SLG,0,0
1999-03-04,WS,スリザーリンク,0,0,🚧,PZL,0,0
1999-03-04,WS,ロードランナー  For WonderSwan,0,0,🚧,PZL,0,0
1999-03-04,WS,wuz↑b?(ワサビ)プロデュース  ストリートダンサー,0,0,🚧,ACT,0,0
1999-03-04,WS,ボカン伝説  ブタもおだてりゃドロンボー,0,0,🚧,RPG,0,0
1999-03-04,WS,デジタルパートナー,0,0,🚧,ETC,0,0
1999-03-04,WS,HUNTER×HUNTER  ～意志を継ぐ者～,0,0,🚧,RPG,0,0
1999-03-04,WS,グローカルヘキサイト,0,0,🚧,PZL,0,0
1999-03-04,WS,レインボーアイランド  ～パーティズ☆パーティ～,0,0,🚧,PZL,0,0
1999-03-04,WS,WonderWitch 専用カートリッジ,0,0,🚧,ETC,0,0
1999-03-04,WS,SDガンダム Gジェネレーション ギャザービート,0,0,🚧,SLG,0,0
1999-03-04,WS,From TV animation ONE PIECE ～めざせ海賊王！～,0,0,🚧,ADV,0,0
1999-03-04,WS,名探偵コナン  西の名探偵 最大の危機！？,0,0,🚧,ADV,0,0
1999-03-04,WS,デジモンアドベンチャー02  タッグテイマーズ,0,0,🚧,RPG,0,0
1999-03-04,WS,ロボットワークス（ワンダーボーグ付属カートリッジ）,0,0,🚧,ETC,0,0
1999-03-04,WS,リング∞  (インフィニティ),0,0,🚧,NOV,0,0
1999-03-04,WS,ファイヤープロレスリング  for WonderSwan,0,0,🚧,SPT,0,0
1999-03-04,WS,スーパーロボット大戦 COMPACT2 第２部：宇宙激震篇,0,0,🚧,RPG,0,0
1999-03-04,WS,はたらくチョコボ,0,0,🚧,SLG,0,0
1999-03-04,WS,トランプコレクション2,0,0,🚧,TBL,0,0
1999-03-04,WS,東京魔人學園符咒封録,0,0,🚧,ETC,0,0
1999-03-04,WS,GUNPEY EX,0,0,🚧,PZL,0,0
1999-03-04,WS,そろばんぐ,0,0,🚧,PZL,0,0
1999-03-04,WS,デジモンアドベンチャー02　ディーワンテイマーズ,0,0,🚧,RPG,0,0
1999-03-04,WS,ファイナルファンタジー ワンダースワン,0,0,🚧,RPG,0,0
1999-03-04,WS,ライムライダー・ケロリカン,0,0,🚧,ACT,0,0
1999-03-04,WS,どこでもハムスター３ おでかけサフラン,0,0,🚧,ETC,0,0
1999-03-04,WS,TERRORS 2,0,0,🚧,NOV,0,0
1999-03-04,WS,アナザヘヴン～memory of those days～,0,0,🚧,NOV,0,0
1999-03-04,WS,仙界伝 弐　　～TVアニメーション仙界伝封神演義より～,0,0,🚧,RPG,0,0
1999-03-04,WS,FLASH 恋人クン,0,0,🚧,PZL,0,0
1999-03-04,WS,スーパーロボット大戦 COMPACT2 第3部：銀河決戦篇,0,0,🚧,RPG,0,0
1999-03-04,WS,ワンダークラシック,0,0,🚧,SPT,0,0
1999-03-04,WS,With you ～みつめていたい～,0,0,🚧,ADV,0,0
1999-03-04,WS,ギルティギア プチ,0,0,🚧,ACT,0,0
1999-03-04,WS,機動戦士ガンダム  Vol.1 SIDE7,0,0,🚧,SLG,0,0
1999-03-04,WS,宇宙戦艦ヤマト,0,0,🚧,SLG,0,0
1999-03-04,WS,ウィザードリィ　シナリオ1 狂王の試練場,0,0,🚧,RPG,0,0
1999-03-04,WS,メモリーズオフ　フェスタ,0,0,🚧,ETC,0,0
1999-03-04,WS,SDガンダム英雄伝 騎士伝説,0,0,🚧,RPG,0,0
1999-03-04,WS,SDガンダム英雄伝 武者伝説,0,0,🚧,RPG,0,0
1999-03-04,WS,ダークアイズ　～バトルゲート～,0,0,🚧,RPG,0,0
1999-03-04,WS,WILD CARD,0,0,🚧,RPG,0,0
1999-03-04,WS,ミスタードリラー,0,0,🚧,ACT,0,0
1999-03-04,WS,名探偵コナン 夕暮れの皇女,0,0,🚧,ADV,0,0
1999-03-04,WS,HUNTER×HUNTER　～それぞれの決意～,0,0,🚧,ETC,0,0
1999-03-04,WS,三毛猫ホームズ ゴーストパニック,0,0,🚧,NOV,0,0
1999-03-04,WS,ファイナルファンタジーII,0,0,🚧,RPG,0,0
1999-03-04,WS,ポケットの中の Doraemon,0,0,🚧,ETC,0,0
1999-03-04,WS,落雀,0,0,🚧,PZL,0,0
1999-03-04,WS,幻想魔伝 最遊記 Retribution～陽のあたる場所で～,0,0,🚧,TBL,0,0
1999-03-04,WS,SDガンダム Gジェネレーション ギャザービート2,0,0,🚧,SLG,0,0
1999-03-04,WS,くるパラ,0,0,🚧,PZL,0,0
1999-03-04,WS,ウルトラマン 光の国の使者,0,0,🚧,ACT,0,0
1999-03-04,WS,東風荘,0,0,🚧,TBL,0,0
1999-03-04,WS,ブルーウイングブリッツ,0,0,🚧,RPG,0,0
1999-03-04,WS,デジモンテイマーズ デジモンメドレー,0,0,🚧,RPG,0,0
1999-03-04,WS,LAST ALIVE,0,0,🚧,NOV,0,0
1999-03-04,WS,機動戦士ガンダム Vol.2～JABURO～,0,0,🚧,SLG,0,0
1999-03-04,WS,HUNTER×HUNTER　～導かれし者～,0,0,🚧,ETC,0,0
1999-03-04,WS,From TV animation ONE PIECE ワンピース　～虹の島伝説～,0,0,🚧,ETC,0,0
1999-03-04,WS,STAR HEARTS ～星と大地の使者～,0,0,🚧,RPG,0,0
1999-03-04,WS,STAR HEARTS ～星と大地の使者～　体験版,0,0,🚧,RPG,0,0
1999-03-04,WS,ギルティギアプチ2,0,0,🚧,ACT,0,0
1999-03-04,WS,デジモンテイマーズ バトルスピリット,0,0,🚧,ACT,0,0
1999-03-04,WS,マリー＆エリー ～ふたりのアトリエ～,0,0,🚧,RPG,0,0
1999-03-04,WS,犬夜叉 ～かごめの戦国日記～,0,0,🚧,ADV,0,0
1999-03-04,WS,ファイナルラップスペシャル,0,0,🚧,RCG,0,0
1999-03-04,WS,スーパーロボット大戦 COMPACT For WonderSwanColor,0,0,🚧,RPG,0,0
1999-03-04,WS,Romancing Sa・Ga,0,0,🚧,RPG,0,0
1999-03-04,WS,XI[s?i]Little,0,0,🚧,PZL,0,0
1999-03-04,WS,デジモンテイマーズ ブレイブテイマー,0,0,🚧,RPG,0,0
1999-03-04,WS,From TV animation ONE PIECE ～トレジャーウォーズ～,0,0,🚧,ACT,0,0
1999-03-04,WS,RUN=DIM - Return to Earth -,0,0,🚧,SHT,0,0
1999-03-04,WS,半熟英雄 ～ああ、世界よ半熟なれ…!!～,0,0,🚧,RPG,0,0
1999-03-04,WS,SDガンダム OPERATION U.C.,0,0,🚧,ACT,0,0
1999-03-04,WS,ゴールデンアックス,0,0,🚧,ACT,0,0
1999-03-04,WS,キン肉マンII世 ドリームタッグマッチ,0,0,🚧,ACT,0,0
1999-03-04,WS,デジタルモンスター カードゲーム Ver.WonderSwanColor,0,0,🚧,ETC,0,0
1999-03-04,WS,魔界塔士 サ・ガ,0,0,🚧,RPG,0,0
1999-03-04,WS,ファイナルファンタジーIV,0,0,🚧,RPG,0,0
1999-03-04,WS,テトリス,0,0,🚧,PZL,0,0
1999-03-04,WS,デジモンテイマーズ バトルスピリット Ver.1.5,0,0,🚧,ACT,0,0
1999-03-04,WS,機動戦士ガンダム Vol.3 -A BAOA QU-,0,0,🚧,SLG,0,0
1999-03-04,WS,グランスタ クロニクル,0,0,🚧,RPG,0,0
1999-03-04,WS,X CARDOF FATE,0,0,🚧,ETC,0,0
1999-03-04,WS,アークザラッド ～機神復活～,0,0,🚧,RPG,0,0
1999-03-04,WS,From TV animation ONE PIECE グランドバトル スワンコロシアム,0,0,🚧,ACT,0,0
1999-03-04,WS,フロントミッション,0,0,🚧,SLG,0,0
1999-03-04,WS,約束の地 リヴィエラ,0,0,🚧,RPG,0,0
1999-03-04,WS,犬夜叉 風雲絵巻,0,0,🚧,ADV,0,0
1999-03-04,WS,デジタルモンスター ディープロジェクト,0,0,🚧,ADV,0,0
1999-03-04,WS,激闘！ クラッシュギアTURBO　ギアチャンピオンリーグ,0,0,🚧,ACT,0,0
1999-03-04,WS,シャーマンキング 未来への意志,0,0,🚧,RPG,0,0
1999-03-04,WS,SDガンダム GGENERATION モノアイ ガンダムズ,0,0,🚧,RPG,0,0
1999-03-04,WS,ナムコスーパーウォーズ,0,0,🚧,RPG,0,0
1999-03-04,WS,犬夜叉 かごめの夢日記,0,0,🚧,ADV,0,0
1999-03-04,WS,バトルスピリット デジモンフロンティア,0,0,🚧,ACT,0,0
1999-03-04,WS,From TV animation ONE PIECE トレジャーウォーズ2 バギーランドへようこそ,0,0,🚧,ACT,0,0
1999-03-04,WS,キン肉マンII世 超人聖戦史,0,0,🚧,RPG,0,0
1999-03-04,WS,ロックマン エグゼ WS,0,0,🚧,ACT,0,0
1999-03-04,WS,機動戦士ガンダムSEED,0,0,🚧,ACT,0,0
1999-03-04,WS,NARUTO -ナルト- 木ノ葉忍法帖,0,0,🚧,RPG,0,0
1999-03-04,WS,HUNTER×HUNTER G･I,0,0,🚧,RPG,0,0
1999-03-04,WS,機動戦士ガンダム ギレンの野望 特別編 蒼き星の覇者,0,0,🚧,SLG,0,0
1999-03-04,WS,スーパーロボット大戦 COMPACT3,0,0,🚧,RPG,0,0
1999-03-04,WS,聖闘士星矢 黄金伝説編　Perfect Edition,0,0,🚧,RPG,0,0
1999-03-04,WS,ロックマン エグゼ N1バトル,0,0,🚧,ACT,0,0
1999-03-04,WS,From TV animation ONE PIECE ～チョッパーの大冒険～,0,0,🚧,RPG,0,0
1999-03-04,WS,DRAGON BALL,0,0,🚧,RPG,0,0
1999-03-04,WS,JUDGEMENT SILVERSWORD -Rebirth Edition-,0,0,🚧,SHT,0,0
1999-03-04,WS,DicingKnight.（だいしんぐないと ピリオド）,0,0,🚧,ACT,0,0
1995-07-21,VB,ギャラクティック・ピンボール,0,0,🚧,ACT,0,0
1995-07-21,VB,テレロボクサー,0,0,🚧,SPT,0,0
1995-07-21,VB,マリオズテニス,0,0,🚧,SPT,0,0
1995-07-21,VB,レッドアラーム,0,0,🚧,SHT,0,0
1995-07-21,VB,とびだせ！ぱにボン,0,0,🚧,PZL,0,0
1995-07-21,VB,Ｔ＆Ｅ　ヴァーチャルゴルフ,0,0,🚧,SPT,0,0
1995-07-21,VB,バーチャルプロ野球’９５,0,0,🚧,SPT,0,0
1995-07-21,VB,バーティカルフォース,0,0,🚧,SHT,0,0
1995-07-21,VB,Ｖ－テトリス,0,0,🚧,PZL,0,0
1995-07-21,VB,スペーススカッシュ,0,0,🚧,ACT,0,0
1995-07-21,VB,マリオクラッシュ,0,0,🚧,ACT,0,0
1995-07-21,VB,ジャック・ブラザーズの迷路でヒーホー！,0,0,🚧,ACT,0,0
1995-07-21,VB,バーチャルフィッシング,0,0,🚧,SPT,0,0
1995-07-21,VB,インスマウスの館,0,0,🚧,ACT,0,0
1995-07-21,VB,スペースインベーダー,0,0,🚧,SHT,0,0
1995-07-21,VB,バーチャルボーイワリオランド アワゾンの秘宝,0,0,🚧,ACT,0,0
1995-07-21,VB,バーチャルＬＡＢ,0,0,🚧,PZL,0,0
1995-07-21,VB,ＳＤガンダム　ＤＩＭＥＮＳＩＯＮ　ＷＡＲ,0,0,🚧,SLG,0,0
1995-07-21,VB,バーチャルボウリング,0,0,🚧,SPT,0,0
1985-10-20,SMS,ボーダーライン,0,0,🚧,ACT,0,0
1985-10-20,SMS,サファリハンティング,0,0,🚧,ACT,0,0
1985-10-20,SMS,Ｎ-サブ,0,0,🚧,SHT,0,0
1985-10-20,SMS,麻雀,0,0,🚧,TBL,0,0
1985-10-20,SMS,チャンピオンゴルフ,0,0,🚧,SPT,0,0
1985-10-20,SMS,芹沢八段の詰将棋,0,0,🚧,TBL,0,0
1985-10-20,SMS,コンゴボンゴ,0,0,🚧,ACT,0,0
1985-10-20,SMS,ＹＡＭＡＴＯ,0,0,🚧,SHT,0,0
1985-10-20,SMS,チャンピオンテニス,0,0,🚧,SPT,0,0
1985-10-20,SMS,スタージャッカー,0,0,🚧,SHT,0,0
1985-10-20,SMS,チャンピオンベースボール,0,0,🚧,SPT,0,0
1985-10-20,SMS,シンドバットミステリー,0,0,🚧,ACT,0,0
1985-10-20,SMS,モナコＧＰ,0,0,🚧,RCG,0,0
1985-10-20,SMS,セガフリッパー,0,0,🚧,ACT,0,0
1985-10-20,SMS,ポップフレーマー,0,0,🚧,ACT,0,0
1985-10-20,SMS,パッカー,0,0,🚧,ACT,0,0
1985-10-20,SMS,セガ・ギャラガ,0,0,🚧,SHT,0,0
1985-10-20,SMS,スペーススラローム,0,0,🚧,SHT,0,0
1985-10-20,SMS,ジッピーレース,0,0,🚧,RCG,0,0
1985-10-20,SMS,パチンコ,0,0,🚧,ETC,0,0
1985-10-20,SMS,エクセリオン,0,0,🚧,SHT,0,0
1985-10-20,SMS,ゴルゴ１３,0,0,🚧,SHT,0,0
1985-10-20,SMS,オーガス,0,0,🚧,SHT,0,0
1985-10-20,SMS,パチンコII,0,0,🚧,ETC,0,0
1985-10-20,SMS,ホーム麻雀,0,0,🚧,TBL,0,0
1985-10-20,SMS,ロードランナー,0,0,🚧,ACT,0,0
1985-10-20,SMS,サファリレース,0,0,🚧,RCG,0,0
1985-10-20,SMS,チャンピオンボクシング,0,0,🚧,SPT,0,0
1985-10-20,SMS,チャンピオンサッカー,0,0,🚧,SPT,0,0
1985-10-20,SMS,ハッスルチューミー,0,0,🚧,ACT,0,0
1985-10-20,SMS,フリッキー,0,0,🚧,ACT,0,0
1985-10-20,SMS,ガールズガーデン,0,0,🚧,ACT,0,0
1985-10-20,SMS,ザクソン,0,0,🚧,SHT,0,0
1985-10-20,SMS,チャンピオンプロレス,0,0,🚧,SPT,0,0
1985-10-20,SMS,ＧＰワールド,0,0,🚧,RCG,0,0
1985-10-20,SMS,コナミの新入社員とおる君,0,0,🚧,ACT,0,0
1985-10-20,SMS,コナミのハイパースポーツ,0,0,🚧,SPT,0,0
1985-10-20,SMS,スターフォース,0,0,🚧,SHT,0,0
1985-10-20,SMS,オセロ,0,0,🚧,TBL,0,0
1985-10-20,SMS,スペースインベーダー,0,0,🚧,SHT,0,0
1985-10-20,SMS,ザ・キャッスル,0,0,🚧,ACT,0,0
1985-10-20,SMS,キューバート,0,0,🚧,ACT,0,0
1985-10-20,SMS,ガズラー,0,0,🚧,ACT,0,0
1985-10-20,SMS,スペースマウンテン,0,0,🚧,SHT,0,0
1985-10-20,SMS,三人麻雀,0,0,🚧,TBL,0,0
1985-10-20,SMS,チャレンジダービー,0,0,🚧,ACT,0,0
1985-10-20,SMS,岡本綾子のマッチプレーゴルフ,0,0,🚧,SPT,0,0
1985-10-20,SMS,スペースアーマー,0,0,🚧,SHT,0,0
1985-10-20,SMS,007ジェイムズボンド,0,0,🚧,ACT,0,0
1985-10-20,SMS,ミュージック(MUSIC),0,0,🚧,ETC,0,0
1985-10-20,SMS,テレビおえかき,0,0,🚧,ETC,0,0
1985-10-20,SMS,中学必修英単語(中学1年生用),0,0,🚧,ETC,0,0
1985-10-20,SMS,中学必修英作文(中学1年生用),0,0,🚧,ETC,0,0
1985-10-20,SMS,中学必修英文法(中学1年生用),0,0,🚧,ETC,0,0
1985-10-20,SMS,楽しい算数(小学4年生上),0,0,🚧,ETC,0,0
1985-10-20,SMS,化学(元素記号マスター),0,0,🚧,ETC,0,0
1985-10-20,SMS,日本史年表,0,0,🚧,ETC,0,0
1985-10-20,SMS,世界史年表,0,0,🚧,ETC,0,0
1985-10-20,SMS,中学必修英単語(中学2年生用),0,0,🚧,ETC,0,0
1985-10-20,SMS,中学必修英作文(中学2年生用),0,0,🚧,ETC,0,0
1985-10-20,SMS,中学必修英文法(中学2年生用),0,0,🚧,ETC,0,0
1985-10-20,SMS,楽しい算数(小学4年生下),0,0,🚧,ETC,0,0
1985-10-20,SMS,楽しい算数(小学5年生下),0,0,🚧,ETC,0,0
1985-10-20,SMS,楽しい算数(小学6年生下),0,0,🚧,ETC,0,0
1985-10-20,SMS,楽しい算数(小学5年生上),0,0,🚧,ETC,0,0
1985-10-20,SMS,楽しい算数(小学6年生上),0,0,🚧,ETC,0,0
1985-10-20,SMS,占いエンゼルキューティー,0,0,🚧,ETC,0,0
1985-10-20,SMS,物理(運動と力編),0,0,🚧,ETC,0,0
1985-10-20,SMS,物理(エネルギー編),0,0,🚧,ETC,0,0
1985-10-20,SMS,BASIC LEVELII,0,0,🚧,ETC,0,0
1985-10-20,SMS,BASIC LEVELIIB,0,0,🚧,ETC,0,0
1985-10-20,SMS,BASIC LEVELIIIA,0,0,🚧,ETC,0,0
1985-10-20,SMS,BASIC LEVELIIIB,0,0,🚧,ETC,0,0
1985-10-20,SMS,BASIC SK-III,0,0,🚧,ETC,0,0
1985-10-20,SMS,ホームベーシック,0,0,🚧,ETC,0,0
1985-10-20,SMS,ホームベーシック LEVELIIB,0,0,🚧,ETC,0,0
1985-10-20,SMS,モナコGP,0,0,🚧,RCG,0,0
1985-10-20,SMS,ジッピーレース,0,0,🚧,RCG,0,0
1985-10-20,SMS,チャンピオンボクシング,0,0,🚧,SPT,0,0
1985-10-20,SMS,スターフォース,0,0,🚧,SHT,0,0
1985-10-20,SMS,ドラゴン・ワン,0,0,🚧,ACT,0,0
1985-10-20,SMS,ズーム909,0,0,🚧,SHT,0,0
1985-10-20,SMS,チョップリフター,0,0,🚧,ACT,0,0
1985-10-20,SMS,ピットフォールII,0,0,🚧,ACT,0,0
1985-10-20,SMS,どきどきペンギンランド,0,0,🚧,PZL,0,0
1985-10-20,SMS,ドロール,0,0,🚧,ACT,0,0
1985-10-20,SMS,チャックンポップ,0,0,🚧,ACT,0,0
1985-10-20,SMS,バンクパニック,0,0,🚧,ACT,0,0
1985-10-20,SMS,ロックンボルト,0,0,🚧,PZL,0,0
1985-10-20,SMS,エレベーターアクション,0,0,🚧,ACT,0,0
1985-10-20,SMS,倉庫番,0,0,🚧,PZL,0,0
1985-10-20,SMS,チャンピオンシップロードランナー,0,0,🚧,ACT,0,0
1985-10-20,SMS,ヒーロー,0,0,🚧,ACT,0,0
1985-10-20,SMS,チャンピオンアイスホッケー,0,0,🚧,SPT,0,0
1985-10-20,SMS,ハングオンII,0,0,🚧,RCG,0,0
1985-10-20,SMS,ボンジャック,0,0,🚧,ACT,0,0
1985-10-20,SMS,ガルケーブ,0,0,🚧,SHT,0,0
1985-10-20,SMS,Ｃ-ＳＯ！,0,0,🚧,ACT,0,0
1985-10-20,SMS,忍者プリンセス,0,0,🚧,ACT,0,0
1985-10-20,SMS,スーパータンク,0,0,🚧,ACT,0,0
1985-10-20,SMS,チャンピオン剣道,0,0,🚧,SPT,0,0
1985-10-20,SMS,ワンダーボーイ,0,0,🚧,ACT,0,0
1985-10-20,SMS,チャンピオンビリヤード,0,0,🚧,SPT,0,0
1985-10-20,SMS,ザ・ブラックオニキス,0,0,🚧,RPG,0,0
1985-10-20,SMS,テディボーイブルース,0,0,🚧,ACT,0,0
1985-10-20,SMS,ハングオン,0,0,🚧,RCG,0,0
1985-10-20,SMS,グレートサッカー,0,0,🚧,SPT,0,0
1985-10-20,SMS,不思議のお城ピットポット,0,0,🚧,ACT,0,0
1985-10-20,SMS,グレートベースボール,0,0,🚧,SPT,0,0
1985-10-20,SMS,サテライト７,0,0,🚧,SHT,0,0
1985-10-20,SMS,アストロフラッシュ,0,0,🚧,SHT,0,0
1985-10-20,SMS,F-16 ファイティングファルコン,0,0,🚧,SHT,0,0
1985-10-20,SMS,グレートテニス,0,0,🚧,SPT,0,0
1985-10-20,SMS,青春スキャンダル,0,0,🚧,ACT,0,0
1985-10-20,SMS,コミカルマシンガンジョー,0,0,🚧,ACT,0,0
1985-10-20,SMS,ゴーストハウス,0,0,🚧,ACT,0,0
1985-10-20,SMS,スパイVSスパイ,0,0,🚧,ACT,0,0
1985-10-20,SMS,ウッディポップ 新人類のブロックくずし,0,0,🚧,ACT,0,0
1985-10-20,SMS,ファンタジーゾーン,0,0,🚧,SHT,0,0
1985-10-20,SMS,極悪同盟ダンプ松本,0,0,🚧,SPT,0,0
1985-10-20,SMS,北斗の拳,0,0,🚧,ACT,0,0
1985-10-20,SMS,アクションファイター,0,0,🚧,ACT,0,0
1985-10-20,SMS,ザ・サーキット,0,0,🚧,RCG,0,0
