発売年,メーカー,タイトル,ハード,ジャンル,容量(bit),価格,ジョブカテゴリ,カウント,マッパー,👥クリエイターズ👨‍💼👨‍💻🎨,👨‍💼ディレクター,👨‍💻プログラマー,🎨デザイナー/美術,🎵音楽,📝シナリオ,💼プロデューサー,
1986-01-01,カシオ,魔城伝説,MSX,-,32K,"￥4,800","￥5,000代",1,?,,,,,,,,
1986-01-01,コナミ,魔城伝説,MSX,-,32K,"￥4,800","￥5,000代",1,Mirrored,,,,,,,,
1987-01-01,コナミ,魔城伝説Ⅱガリウスの迷宮(THEMAZEOFGALIOUS),MSX,-,1M,"￥4,980","￥5,000代",1,Konami48KB(noSCC),,,,,,,,
1987-01-01,コナミ,魔城伝説Ⅲ完結編シャロム(KINGHTMAREIIISHALOM),MSX,-,2M,"￥5,980","￥6,000代",1,Konami48KB(noSCC),,,,,,,,
1987-01-01,ポニーキャニオン,魔性の館ガバリン,MSX,-,64K,"￥4,900","￥5,000代",1,Mirrored,,,,,,,,
1986-01-01,ソニー,魔法使いウィズ,MSX,-,32K,"￥4,800","￥5,000代",1,Mirrored,,,,,,,,
1987-01-01,ザインソフト,未来,MSX2,-,1M,"￥5,800","￥6,000代",1,ASCII_8KB,,,,,,,,
1987-01-01,ザインソフト,未来,MSX,-,1M,"￥5,800","￥6,000代",1,ASCII_8KB,,,,,,,,
1980-01-01,アイレム,密林の秘法,不明,-,不明,￥,￥0代,1,?,,,,,,,,
1986-01-01,日本テレネット,夢幻戦士ヴァリス,MSX,-,1M,"￥6,800","￥7,000代",1,ASCII_8KB,,林浩樹(グラフィック)|小川史生(音楽),秋篠雅弘,ウルフ・チーム|林浩樹,小川史生,林浩樹|三橋幸雄,林浩樹,
1986-01-01,コナミ,夢大陸アドベンチャー(PENGUINADVENTURE),MSX,-,1M,"￥4,980","￥5,000代",1,Konami48KB(noSCC),,,,,,,,
1987-01-01,電波新聞社,迷宮への扉(GATEOFLABYRINTH),MSX,-,1M,"￥5,300","￥5,500代",1,ASCII_16KB,,,,,,,,
1986-01-01,ＨＡＬ研究所,迷宮神話,MSX,-,1M,"￥5,600","￥5,500代",1,ASCII_16KB,,,,,,,,
1984-01-01,ハドソン,野球狂,MSX,-,32K,"￥4,800","￥5,000代",1,Mirrored,,,,,,,,
1988-01-01,タイトー／ニデコ,山村美紗サスペンス京都龍の寺殺人事件,MSX2,-,2M,"￥5,800","￥6,000代",1,ASCII_8KB,,,,,,,,
1988-01-01,システムサコム,幽霊君,MSX2,-,2M,"￥6,800","￥7,000代",1,ASCII_8KB,,,,,,長野洋|岡本喜八|松木ひろし|窪田篤人|渡邉祐介|長野洋|尾中洋一,,
1980-01-01,ストラッドフォード,幼児のえいご,不明,-,不明,￥,￥0代,1,?,,,,,,,,
1986-01-01,カシオ,妖怪屋敷,MSX,-,32K,"￥4,800","￥5,000代",1,Mirrored,,,,,,,,
1985-01-01,ボースティック,妖怪探偵ちまちま,MSX,-,32K,"￥5,600","￥5,500代",1,Mirrored,,,,,,,,
1985-01-01,ポニーキャニオン,連珠とおじゃま犬たち,MSX,-,16K,"￥4,800","￥5,000代",1,Basic(startat0x8000),,,,,,,,
1987-01-01,立石電気,連続血圧測定プログラム,MSX,-,不明,"￥39,800","￥40,000代",1,?,,,,,,,,
