発売日,メーカー,タイトル,⭐クロスレビュー(評価),容量(bit),ジャンル,価格,価格帯,売り上げ本数,ハード,👥クリエイターズ,👨‍💼ディレクター,👨‍💻プログラマー,🎨デザイナー/美術,🎵音楽,📝シナリオ,💼プロデューサー,カセットカラー,ラベル,「対戦」といえば？,「ハイスコア」といえば？,「クリアできなかった」といえば？,
1988-03-17,ビクター音楽産業,釣りキチ三平ブルーマーリン編,-,4,ETC,"￥5,500","￥5,500代",0,1,,,,,,,,-,-,-,-,-,
1988-03-17,ナムコ,ローリングサンダー,-,4,ACT,"￥5,500","￥5,500代",0,1,,,,,,,,-,-,-,-,-,
1988-03-18,アイレム,ナポレオン戦記,-,4,SLG,"￥5,500","￥5,500代",0,1,,,,,,,,-,-,-,-,-,
1988-03-18,光栄,信長の野望全国版,-,5,SLG,"￥9,800","￥10,000代",0,1,,,,,菅野よう子,,シブサワ・コウ,-,-,-,-,-,
1988-03-18,ポニーキャニオン,谷川浩司の将棋指南Ⅱ名人への道,-,4,TBL,"￥5,500","￥5,500代",0,1,,,,,,,,-,-,-,-,-,
1988-03-24,SNK,ファイティングゴルフ,-,4,SPT,"￥5,500","￥5,500代",0,1,,,,,,,,-,-,-,-,-,
1988-03-26,ビック東海,ゴルゴ13第一章神々の黄昏,-,4,ACT,"￥5,700","￥5,500代",0,1,,ANGELA,八木としやす,吉川昇一|吉川昇一|佐藤博幸,蓮谷通治,倉本奈緒,さいとう・たかを,-,-,-,-,-,
1988-03-28,イマジニア,愛の伝説オリュンポスの戦い,-,4,RPG,"￥5,300","￥5,500代",0,1,,,,,,,,-,-,-,-,-,
1988-03-28,ホットビィ,武田信玄,-,4,SLG,"￥5,800","￥6,000代",0,1,,,,,,,,-,-,-,-,-,
1988-03-29,アスキー,フリートコマンダー,-,2,SLG,"￥5,500","￥5,500代",0,1,,,,,,,,-,-,-,-,-,
1988-03-29,タイトー,不動明王伝,-,5,ACT,"￥5,900","￥6,000代",0,1,,,,,,,,-,-,-,-,-,
1988-03-30,データイースト,ビーバップハイスクール高校生極楽伝説,-,4,ADV,"￥5,800","￥6,000代",0,1,,,,,,,,-,-,-,-,-,
1988-04-05,ナムコ,独眼竜政宗,-,4,SLG,"￥5,500","￥5,500代",0,1,,,,,,,,-,-,-,-,-,
1988-04-08,東宝,ジーキル博士の彷魔が刻,-,4,ACT,"￥5,300","￥5,500代",0,1,,,,,蓮谷通治,,,-,-,-,-,-,
1988-04-08,テクノスジャパン,双截龍(ダブルドラゴン),31,4,ACT,"￥5,800","￥6,000代",0,1,,,,,,,,-,-,-,-,-,
1988-04-15,ジャレコ,燃えろ！！プロテニス,-,4,SPT,"￥5,500","￥5,500代",0,1,,,,樋上いたる|門之園恵美|池田和美,折戸伸治|戸越まごめ|麻枝准,志茂文彦,馬場隆博,-,-,-,-,-,
1988-04-16,ケイアミューズメントリース,怒ⅡDOGOSOKEN,-,5,ACT,"￥5,500","￥5,500代",0,1,,,,,,,,-,-,-,-,-,
1988-04-28,トンキンハウス,エリュシオン,-,4,RPG,"￥5,500","￥5,500代",0,1,,,,,,,,-,-,-,-,-,
1988-04-28,テクモ,キャプテン翼,32,4,SPT,"￥5,500","￥5,500代",0,1,,,,,,高橋陽一,,🟥赤,-,-,-,-,
1988-04-28,ケムコ,砂漠の狐戦車戦略,-,4,SLG,"￥5,500","￥5,500代",0,1,,,,,,,,-,-,-,-,-,
1988-05-01,トーワチキ,名探偵ホームズ霧のロンドン殺人事件,-,5,ADV,"￥6,000","￥6,000代",0,1,,,,,,,,-,-,-,-,-,
1988-05-13,スクウェア,ディープダンジョンⅢ勇士への旅,-,5,RPG,"￥5,900","￥6,000代",0,1,,,,,,,,-,-,-,-,-,
1988-05-20,東映動画,仮面の忍者赤影,-,4,ACT,"￥5,300","￥5,500代",0,1,,石崎すすむ,,金山明博,知久光康,菅良幸|井上敏樹|照井啓司|渡辺麻実,,-,-,-,-,-,
1988-05-27,ヘクト,将軍(SHOGUN),-,4,SLG,"￥5,800","￥6,000代",0,1,,,,,モーリス・ジャール,エリック・バーコビッチ,エリック・バーコビッチ|ベン・チャップマン|ジェームズ・クラベル|ケリー・フェルザーン,-,-,-,-,-,
1988-05-27,ハドソン,サラダの国のトマト姫,-,4,ADV,"￥5,900","￥6,000代",0,1,,,,,,,,-,-,-,-,-,
1988-05-27,ナムコ,ナムコクラシック,30,5,SPT,"￥5,900","￥6,000代",0,1,,,,,,,,-,-,-,-,-,
1988-05-27,ユーピーエル,忍者くん阿修羅の章,-,4,ACT,"￥5,300","￥5,500代",0,1,,,西澤龍一|藤沢勉,西澤龍一|藤沢勉,,,,🟥赤,-,-,-,-,
1988-05-30,バンダイ,聖闘士星矢黄金伝説完結編,-,4,RPG,"￥5,800","￥6,000代",0,1,,,,,,,,🟦青,-,-,-,-,
1988-06-03,日本物産,コスモポリスギャリバン,-,4,ACT,"￥5,900","￥6,000代",0,1,,藤原茂樹,つちいえとしお,藤原茂樹|なかがわきょうこ,吉田健志,,,-,-,-,-,-,
1988-06-17,サンソフト,超惑星戦記メタファイト,32,4,SHT,"￥5,300","￥5,500代",0,1,,東谷浩明|北角浩一,さだけんじ|かじたけんじ,さだけんじ|岩田義明|駕屋ひろゆき|リチャード・ロビンス,小高直樹,,,-,-,-,-,-,
1988-06-20,カプコン,1943,-,4,SHT,"￥5,300","￥5,500代",0,1,,,,,,,,-,-,-,-,-,
1988-06-24,ケムコ,真田十勇士,30,4,RPG,"￥5,600","￥5,500代",0,1,,,,,,,,-,-,-,-,-,
1988-06-24,ナムコ,妖怪道中記,30,4,ACT,"￥4,900","￥5,000代",0,1,,,デビル中村,水野一実|ナナチャン大石|木元昌洋|小森谷勇一郎|サラバジャ南|ホルスタイン安斎|カータン榊原,川田宏行,,,-,-,-,-,-,
1988-06-28,タイトー,究極ハリキリスタジアム,-,4,SPT,"￥5,500","￥5,500代",0,1,,,,,,,,-,-,-,-,-,
1988-07-14,BPS,スーパーブラックオニキス,-,5,RPG,"￥5,900","￥6,000代",0,1,,,ボブ・ラザフォード|小林孝志|リチャード・チャールズ・ロジャース|坂本隆志,ヘンク・ブラウアー・ロジャース|ハンス・ヤンセン,,松方哲也,,-,-,-,-,-,
1988-07-15,コナミ,じゃりん子チエばくだん娘のし幸せさがし,-,4,ADV,"￥5,800","￥6,000代",0,1,,,,,,,,-,-,-,-,-,
1988-07-15,アスキー,ベストプレープロ野球,30,4,SLG,"￥5,800","￥6,000代",0,1,,,,,,,,-,-,-,-,-,
1988-07-15,ジャレコ,伝説の騎士エルロンド,-,4,ACT,"￥5,500","￥5,500代",0,1,,,,,デビッド・ワイズ,,,-,-,-,-,-,
1988-07-20,カプコン,ヒットラーの復活トップシークレット,-,5,ACT,"￥5,900","￥6,000代",0,1,,,,,,,,-,-,-,-,-,
1988-07-21,ボーステック,めぞん一刻,-,5,ADV,"￥5,900","￥6,000代",0,1,,,,,周防義和,岡田惠和,,-,-,-,-,-,
1988-07-22,ナムコ,カイの冒険,-,4,ACT,"￥3,900","￥4,000代",0,1,,遠藤雅伸,内藤智,遠藤雅伸|篠崎雄一郎|ときた洸一,小沢純子,遠藤雅伸,,-,-,-,-,-,
1988-07-22,ビック東海,カケフくんのジャンプ天国スピード地獄,-,4,ACT,"￥5,300","￥5,500代",0,1,,はせがわとしひさ,BIG HIT MACHIYA|河村知彦,はせがわとしひさ,蓮谷道治,,藤原明|曽我栄蔵,-,-,-,-,-,
1988-07-26,タイトー,レインボーアイランド,-,4,ACT,"￥5,500","￥5,500代",0,1,,,藤末一郎|みきこうじ|おくのこうじ,三辻富貴朗|三辻富貴朗|讃岐平,相澤静夫|小倉久佳,三辻富貴朗,,-,-,-,-,-,
1988-07-26,テクノスジャパン,熱血高校ドッジボール部,31,4,SPT,"￥5,800","￥6,000代",0,1,,,,,,,,-,対戦,10位,-,-,
1988-07-29,SNK,グレートタンク,-,4,SHT,"￥5,500","￥5,500代",0,1,,,かねだゆきお,なかいとしゆき|小畑浩二|藤原秀樹|かわさきいさむ|かまだおさむ|さとうじゅんこ,ゆあさまさかず|田中敬一|西田和弘,,川崎英吉,-,-,-,-,-,
1988-07-29,ナムコ,三国志中原の覇者,-,4,SLG,"￥6,900","￥7,000代",0,1,,,,,,,,-,-,-,-,-,
1988-07-29,カルチャーブレーン,飛龍の拳Ⅱドラゴンの翼,-,4,ACT,"￥5,500","￥5,500代",0,1,,,,,,,,-,-,-,-,-,
1988-07-30,バップ,スーパーリアルベースボール'88,-,4,SPT,"￥5,500","￥5,500代",0,1,,,,,,,,-,-,-,-,-,
1988-08-03,東京書籍,太陽の神殿アステカⅡ,-,5,ADV,"￥5,900","￥6,000代",0,1,,加藤正幸,橋本昌哉,山根ともお|横山宏,阿部隆人,宮本恒之,,-,-,-,-,-,
1988-08-09,HAL研究所,エッガーランド迷宮の復活,-,4,PZL,"￥5,600","￥5,500代",0,1,,,,,,,,-,-,-,-,-,
1988-08-10,ソフエル,ザ・マネーゲーム,-,4,SLG,"￥5,900","￥6,000代",0,1,,,篠原正義|高橋範道|杉坂浩一|ドラゴン高橋|土津完保|山本忠行,山口裕司|山㟁栄一,大藤由美子(日本版)|村井俊夫(北米版),松沢博,,-,-,-,-,-,
1988-08-10,バンダイ,闘将！！拉麺男炸裂超人一○二芸,-,4,ADV,"￥5,800","￥6,000代",0,1,,明比正行,,山口泰弘,奥慶一,ゆでたまご,,-,-,-,-,-,
1988-08-10,ジャレコ,燃えろ！！プロ野球'88決定版,-,5,SPT,"￥5,800","￥6,000代",0,1,,,,,,,,-,-,-,-,-,
1988-08-11,サンソフト,水戸黄門Ⅱ世界漫遊記,-,4,ADV,"￥5,500","￥5,500代",0,1,,,,,,,,-,-,-,-,-,
1988-08-12,データイースト,サッカーリーグウィナーズカップ,-,4,SPT,"￥5,800","￥6,000代",0,1,,,,,,,,-,-,-,-,-,
1988-08-12,バンダイ,ドラゴンボール大魔王復活,-,4,RPG,"￥5,800","￥6,000代",0,1,,荻野目洋,しみずかずや,あきこ|ゆうこ|かつら|やすえ,安達春樹|ペルー,,,-,-,-,-,-,
1988-08-12,ナムコ,ファイナルラップ,-,4,RCG,"￥5,200","￥5,000代",0,1,,,,,細江慎治,,,-,-,-,-,-,
1988-08-12,任天堂,ファミコンウォーズ,33,4,SLG,"￥5,500","￥5,500代",0,1,,,,,,,,-,-,-,-,-,
1988-08-12,コナミ,マッドシティ,-,4,ACT,"￥5,500","￥5,500代",0,1,,,,,トーマス・ニューマン,トム・マシューズ,,-,-,-,-,-,
1988-08-19,アイレム,不如帰(ほととぎす),-,5,SLG,"￥6,500","￥6,500代",0,1,,,,,,,,-,-,-,-,-,
1988-08-23,ココナッツジャパン,スーパーピンボール,-,4,ETC,"￥5,800","￥6,000代",0,1,,,,,,,,-,-,-,-,-,
1988-08-26,ビクター音楽産業,イース,30,5,RPG,"￥6,200","￥6,000代",0,1,,,,,,,,-,-,-,-,-,
1988-08-26,バップ,スーパーダイナミックバトミントン,-,2,SPT,"￥4,900","￥5,000代",0,1,,,,,,,,-,-,-,-,-,
1988-08-26,ハドソン,亀の恩返し,-,4,SHT,"￥5,500","￥5,500代",0,1,,,,,高山博彦,,,-,-,-,-,-,
1988-09-02,SNK,ファミコン名人戦,-,4,TBL,"￥5,900","￥6,000代",0,1,,,,,,,,-,-,-,-,-,
1988-09-13,ジャレコ,マニアックマンション,-,5,ADV,"￥5,500","￥5,500代",0,1,,,ロン・ギルバート|デヴィッド・フォックス|カール・メイ,ロン・ギルバート|ゲイリー・ウィニック(英語版)|ゲイリー・ウィニック,クリス・グリッグス|デヴィッド・ローレンス,ロン・ギルバート|ゲイリー・ウィニック,,-,-,-,-,-,
1988-09-16,コナミ,コナミックスポーツインソウル,-,4,SPT,"￥5,500","￥5,500代",0,1,,,,,,,,-,-,-,-,-,
1988-09-16,ポニーキャニオン,霊幻道士,-,5,ACT,"￥5,900","￥6,000代",0,1,,,,,アンダース・ネルソン|メロディ・バンク,バリー・ウォン(黄炳耀)[注釈 1]|シートゥ・チャホン,,-,-,-,-,-,
1988-09-21,ポニーキャニオン,孔雀王,-,5,ADV,"￥5,800","￥6,000代",0,1,,,,越智博之(1)|摩砂雪(2)|岸田隆宏(3)|小池健|阿部恒,,荻野真,,-,-,-,-,-,
1988-09-22,ケムコ,ドナルドダック,-,4,ETC,"￥5,800","￥6,000代",0,1,,,,,,,,-,-,-,-,-,
1988-09-27,セタ,エイトアイズ,-,4,ACT,"￥5,800","￥6,000代",0,1,,,,,レノン=マッカートニー,,ジョージ・マーティン,-,-,-,-,-,
1988-09-27,ナムコ,えりかとさとるの夢冒険,-,4,ADV,"￥4,900","￥5,000代",0,1,,,,,高山博彦,,,-,-,-,-,-,
1988-09-30,エピックソニー,VIVALASVEGAS,-,4,TBL,"￥5,900","￥6,000代",0,1,,,,,,,,-,-,-,-,-,
1988-09-30,パックインビデオ,ナイトライダー,-,3,RCG,"￥5,500","￥5,500代",0,1,,,,,,,,-,-,-,-,-,
1988-10-01,アスキー,ベストプレープロ野球新データ,-,4,SLG,"￥5,800","￥6,000代",0,1,,,,,,,,-,-,-,-,-,
1988-10-11,ボーステック,大戦略,-,4,SLG,"￥5,900","￥6,000代",0,1,,,,,,,,-,-,-,-,-,
1988-10-18,ホットビィ,ザ・ブラックバスⅡ,-,4,ETC,"￥5,800","￥6,000代",0,1,,,,,,,,-,-,-,-,-,
1988-10-21,データイースト,コブラコマンド,-,4,SHT,"￥5,800","￥6,000代",0,1,,,,,,,,-,-,-,-,-,
1988-10-21,ナムコ,源平討魔伝,-,4,RPG,"￥4,900","￥5,000代",0,1,,,大久保良一,阿部信彦|高橋由鬼夫|穴田悟,中潟憲雄,高橋由鬼夫|大久保良一|中潟憲雄,,-,-,-,-,-,
1988-10-23,任天堂,スーパーマリオブラザーズ3,35,5,ACT,"￥6,500","￥6,500代",384,1,,宮本茂|手塚卓志,中郷俊彦,宮本茂|手塚卓志|手塚卓志|紺野秀樹|木村浩之,近藤浩治,,宮本茂,🟨黄,対戦,18位,16位,-,
1988-10-28,ヘクト,アメリカ大統領選挙,-,4,SLG,"￥9,800","￥10,000代",0,1,,,,,,,,-,-,-,-,-,
1988-10-30,光栄,三國志,-,5,SLG,"￥9,800","￥10,000代",0,1,,,,,,,,-,-,-,-,-,
1988-11-10,ナツメ,東方見文録,-,4,ADV,"￥5,800","￥6,000代",0,1,,,キャプテンつぼはち,太田螢一,HANA YAMUCHA,ウルトラかんさい|KONAN,,-,-,-,-,-,
1988-11-11,ケイアミューズメントリース,アメリカンフットボールタッチダウンフィーバー,-,4,SPT,"￥5,500","￥5,500代",0,1,,,,,,,,-,-,-,-,-,
1988-11-11,アスミック,ぎゅわんぶらあ自己中心派,-,5,TBL,"￥5,900","￥6,000代",0,1,,,,,,,,-,-,-,-,-,
1988-11-11,ジャレコ,西遊記ワールド,-,4,ACT,"￥5,500","￥5,500代",0,1,,,,,,,,-,-,-,-,-,
1988-11-16,アテナ,ファミリークイズ4人はライバル,-,4,ETC,"￥5,800","￥6,000代",0,1,,,,,,,,-,-,-,-,-,
1988-11-18,ナムコ,貝獣物語,-,4,RPG,"￥5,500","￥5,500代",0,1,,,スタジオD51,バースデイ|フロッピー野中,六土開正,バースデイ,,-,-,-,-,-,
1988-11-22,ケムコ,ディジャブ悪魔は本当にやって来た,30,4,ADV,"￥9,800","￥10,000代",0,1,,,,,,,,-,-,-,-,-,
1988-11-22,ジャレコ,燃えろ！！ジュニアバスケットTWOONTWO,-,4,SPT,"￥5,500","￥5,500代",0,1,,,,,,,,-,-,-,-,-,
1988-11-25,タイトー,たけしの戦国風雲児,-,4,ETC,"￥5,800","￥6,000代",0,1,,,,,,,,-,-,-,-,-,
1988-11-25,ナムコ,ファミリーマージャンⅡ上海への道,-,4,TBL,"￥4,900","￥5,000代",0,1,,,,,,,,-,-,-,-,-,
1988-11-29,ジャレコ,中国占星術,-,4,ETC,"￥5,900","￥6,000代",0,1,,,,,,,,-,-,-,-,-,
1988-12-02,サンソフト,エイリアンシンドローム,-,4,ACT,"￥5,500","￥5,500代",0,1,,,,,中林亨,,,-,-,-,-,-,
1988-12-02,ハドソン,桃太郎電鉄,-,5,TBL,"￥5,800","￥6,000代",0,1,,さくまあきら,,飯塚裕之|土居孝幸,関口和之,桝田省治|こいでたく|まつもとたづ,,-,-,-,-,-,
1988-12-02,ビック東海,突然！マッチョマン,-,4,ACT,"￥5,500","￥5,500代",0,1,,,おかだひろゆき,竹森得泰|風間浩|MACKEY UENO,横山清|安藤童太,,いのうえあきお,-,-,-,-,-,
1988-12-02,スクウェア,半熟英雄,-,4,SLG,"￥5,800","￥6,000代",0,1,,,,,,,,-,-,-,-,-,
1988-12-09,ナムコ,キングオブキングス,30,4,SLG,"￥5,900","￥6,000代",0,1,,,,,,,,-,-,-,-,-,
1988-12-09,東宝,ゴジラ,-,4,SLG,"￥5,800","￥6,000代",0,1,,,,,,,,-,-,-,-,-,
1988-12-09,バリエ,中嶋悟監修F-1ヒーロー,-,4,RCG,"￥5,900","￥6,000代",0,1,,,,,,,,-,-,-,-,-,
1988-12-09,テクモ,忍者龍剣伝,-,4,ACT,"￥5,500","￥5,500代",0,1,,,,,斎藤幹雄,,,⬜白,-,-,-,14位,
1988-12-10,インダクショウンプロディース,89電脳九星占いbyGingukan,-,5,ETC,"￥9,800","￥10,000代",0,1,,,,,,,,-,-,-,-,-,
1988-12-13,東映動画,ファイティングロード,-,4,ACT,"￥6,200","￥6,000代",0,1,,,,,,,,-,-,-,-,-,
1988-12-16,ビクター音楽産業,かぐや姫伝説,-,5,ADV,"￥5,900","￥6,000代",0,1,,,SPRING FIELD,富沢千夏,美羅亜樹,松本貢,本多慧,-,-,-,-,-,
1988-12-16,徳間書店,キャプテンシルバー,-,4,ACT,"￥5,500","￥5,500代",0,1,,,,,,,,-,-,-,-,-,
1988-12-16,コナミ,グラディウスⅡ,31,4,ACT,"￥5,900","￥6,000代",0,1,,,橋本和久|徳田典|松花賢和|高浜元,三好威正|H.MORII|すえながみかよ,村岡一樹|上原和彦|上高治巳|森本ゆきえ,,,-,-,-,-,-,
1988-12-16,ケイアミューズメントリース,ザトライアスロン,-,4,RCG,"￥5,600","￥5,500代",0,1,,,,,,,,-,-,-,-,-,
1988-12-16,タイトー,究極ハリキリスタジアム'88選手新データバージョン,-,4,SPT,"￥5,500","￥5,500代",0,1,,,,,,,,-,-,-,-,-,
1988-12-17,東京書籍,サイクルレースロードマン～激走！！日本一周4000km～,-,4,RCG,"￥5,500","￥5,500代",0,1,,,,,,,,-,-,-,-,-,
1988-12-17,バリエ,トップライダー,-,4,RCG,"￥9,800","￥10,000代",0,1,,,,,,,,-,-,-,-,-,
1988-12-17,スクウェア,ファイナルファンタジーⅡ,35,5,RPG,"￥6,500","￥6,500代",76,1,,坂口博信,ナーシャ・ジベリ,田中弘道|青木和彦|天野喜孝,植松伸夫,寺田憲史,宮本雅史,⬜白,-,-,-,-,
1988-12-20,バンダイ,ファミリートレーナーシリーズ9風雲たけし城二,-,2,SPT,"￥4,900","￥5,000代",0,1,,,,,,,,-,-,-,-,-,
1988-12-20,サンソフト,ファンタジーゾーンⅡオパオパの涙,-,4,SHT,"￥5,500","￥5,500代",0,1,,,,,上保徳彦,,,-,-,-,-,-,
1988-12-20,ナムコ,プロ野球ファミリースタジアム'88年度版,-,4,SPT,"￥4,900","￥5,000代",109,1,,,,,,,,-,-,-,-,-,
1988-12-20,HAL研究所,ローラーボール,-,4,TBL,"￥5,600","￥5,500代",0,1,,,,,,,,-,-,-,-,-,
1988-12-21,ケムコ,銀河英雄伝説わが征くは星の大海,-,4,SLG,"￥5,900","￥6,000代",0,1,,,,本木久年|清水恵蔵|久米一成|田中精美|池田裕治|高橋英樹|清水恵蔵|清水恵蔵(全編)|今泉賢一(「汚名」),,河中志摩夫,,-,-,-,-,-,
1988-12-22,BPS,テトリス,-,2,PZL,"￥4,900","￥5,000代",181,1,,,,,,,,-,-,-,07位,-,
1988-12-23,ジャレコ,燃えろ！！プロサッカー,-,5,SPT,"￥5,800","￥6,000代",0,1,,,,,,,,-,-,-,-,-,
1988-12-24,タイトー,アキラ,-,4,ADV,"￥6,800","￥7,000代",0,1,,,,,,,,-,-,-,-,-,
1988-12-24,九娯貿易,エアーウルフ,-,4,ACT,"￥5,900","￥6,000代",0,1,,,,,,,,-,-,-,-,-,
1988-12-24,フジテレビ,小公子セディ(ファミコンドラマ),-,5,ADV,"￥5,900","￥6,000代",0,1,,,,,,,,-,-,-,-,-,
1988-12-24,カプコン,プロ野球？殺人事件！,-,5,ADV,"￥5,900","￥6,000代",0,1,,西山隆志,,貞本友思|河野浩行|貞本友思|稲船敬二,殿村裕誠,,,-,-,-,-,-,
1988-12-24,カプコン,ロックマン2Dr.ワイリーの謎,-,5,ACT,"￥5,800","￥6,000代",151,1,,北村玲,松嶋延幸,北村玲|岸本泰明|稲船敬二|富田直哉|北村玲,立石孝|松前真奈美|坂口由洋,,藤原得郎,🟥赤,-,-,-,-,
1988-12-26,SNK,ゲバラ,-,4,SHT,"￥5,500","￥5,500代",0,1,,,,,,,,-,-,-,-,-,
1989-01-04,コナミ,がんばれゴエモン2,-,4,ACT,"￥5,500","￥5,500代",0,1,,,青山和浩|小川光章|蛭子悦延,日下進|西村汁子|汾陽桂太,村田幸史|山根ミチル,,,-,-,-,-,-,
1989-01-06,タカラ,スペースハリアー,-,4,SHT,"￥5,500","￥5,500代",0,1,,藤井睦弘(セガ・マークIII),三船敏(アーケード)|川竹英士(アーケード)|中裕司(セガ・マークIII),鈴木裕(アーケード)|麻生宏(アーケード)|津田知介(アーケード)|永田英朗(アーケード)|貞森康毅(セガ・マークIII),川口博史(アーケード)|鈴木裕(アーケード)|上保徳彦(セガ・マークIII),中裕司(セガ・マークIII)|藤井睦弘(セガ・マークIII)|百田浩司(セガ・マークIII),金成貫(アーケード)|中裕司(セガ・マークIII),-,-,-,-,-,
1989-01-06,ソフエル,100万$キッド幻の帝王編,-,5,TBL,"￥5,900","￥6,000代",0,1,,,,のむら ただお,村井俊夫,,,-,-,-,-,-,
1989-01-20,アイレム,西村京太郎ミステリーブルートレイン殺人事件,-,4,ADV,"￥6,500","￥6,500代",0,1,,,,,,,,-,-,-,-,-,
1989-01-20,SNK,里見八犬伝,-,4,RPG,"￥5,900","￥6,000代",0,1,,,,,,,,-,-,-,-,-,
1989-01-27,東芝ＥＭＩ,ゾイド2ゼネバスの逆襲,-,5,RPG,"￥5,900","￥6,000代",0,1,,,,,,,,-,-,-,-,-,
1989-01-27,コナミ,モトクロスチャンピオン,-,4,RCG,"￥5,500","￥5,500代",0,1,,,,,,,,-,-,-,-,-,
1989-01-27,ビック東海,電撃ビッグバン,-,4,ACT,"￥5,800","￥6,000代",0,1,,,久松のりひろ|成澤都美子|佐野まゆみ,かわむらはるひこ|かわむらはるひこ|ピータンやまぐち|きのしたかずあき,蓮谷道治,,,-,-,-,-,-,
1989-01-30,ココナッツジャパン,パチ夫くん2,-,5,TBL,"￥6,500","￥6,500代",0,1,,,,,,,,-,-,-,-,-,
1989-01-31,バンダイ,ファミリートレーナーシリーズ10来来キョンシーズベビーキョンシーのあみだ大冒険,-,2,SPT,"￥4,900","￥5,000代",0,1,,,,,,,,-,-,-,-,-,
1989-01-31,データイースト,ワールドグランプリPOLEtoFINISH(ポール・トゥ・フィニッシュ),-,4,RCG,"￥5,800","￥6,000代",0,1,,,,,,,,-,-,-,-,-,
1989-02-06,セタ,トムソーヤの冒険,-,4,ACT,"￥5,900","￥6,000代",0,1,,,,,,,,-,-,-,-,-,
1989-02-09,ナムコ,ワギャンランド,-,4,ACT,"￥4,900","￥5,000代",0,1,,,,,,,,-,-,-,-,-,
1989-02-10,サンソフト,赤龍王,-,4,ADV,"￥5,500","￥5,500代",0,1,,,,,,,,-,-,-,-,-,
1989-02-11,タイトー,京都花の密室殺人事件山村美紗サスペンスシリーズ,-,4,ADV,"￥5,900","￥6,000代",0,1,,,,,,,,-,-,-,-,-,
1989-02-15,バンダイ,ファミコンジャンプ英雄列伝,-,5,RPG,"￥6,500","￥6,500代",110,1,,東海林隆|かみやはるき|大久保悌伸,あさくさNABE|TRACY KAZUYA,荻野目洋,安達春樹|ペルー,杉本則之,橋本名人,◾黒,-,-,-,-,
1989-02-17,ナムコ,ハイドライド3闇からの訪問者,-,5,RPG,"￥6,900","￥7,000代",0,1,,,,,,,,-,-,-,-,-,
1989-02-17,エピックソニー,飛ingヒーロー(フライングヒーロー),-,4,ACT,"￥5,500","￥5,500代",0,1,,,,,,,,-,-,-,-,-,
1989-02-20,バンダイ,スペースシャドー,-,3,SHT,"￥9,800","￥10,000代",0,1,,,,,,,,-,-,-,-,-,
1989-02-21,アスキー,ウィザードリィⅡリルガミンの遺産,32,4,RPG,"￥6,500","￥6,500代",0,1,,,,,,,,-,-,-,-,-,
1989-02-23,ユース,百鬼夜行,-,4,RPG,"￥6,200","￥6,000代",0,1,,,,,,,,-,-,-,-,-,
1989-02-28,コナミ,がんばれペナントレース！,-,4,SPT,"￥5,900","￥6,000代",0,1,,,上野雅弘|山村としき,荻窪一仁,藤尾敦,,,-,-,-,-,-,
1989-03-03,バンダイ,魁！男塾疾風一号生,-,4,ACT,"￥5,800","￥6,000代",0,1,,,,,,,,-,-,-,-,-,
1989-03-03,ナムコ,早打ちスーパー囲碁,-,2,TBL,"￥5,900","￥6,000代",0,1,,,,,,,,-,-,-,-,-,
1989-03-17,キングレコード,ジーザス恐怖のバイオモンスター,-,5,ADV,"￥5,900","￥6,000代",0,1,,,,,,,,-,-,-,-,-,
1989-03-17,タイトー,爆笑！！人生劇場,-,5,TBL,"￥5,900","￥6,000代",0,1,,,,,,,,-,-,-,-,-,
1989-03-24,ナムコ,ファミリーピンボール,-,4,TBL,"￥4,900","￥5,000代",0,1,,,,,,,,-,-,-,-,-,
1989-03-24,トンキンハウス,暗黒神話ヤマトタケル伝説,-,5,ADV,"￥5,900","￥6,000代",0,1,,,,,,,,-,-,-,-,-,
1989-03-28,ジャレコ,じゃじゃ丸忍法帳,-,4,RPG,"￥5,800","￥6,000代",0,1,,,かずひろ,二条院翁|えいさく,岡村静良,,,-,-,-,-,-,
1989-03-28,データイースト,ペナントリーグホームランナイター,-,4,SPT,"￥5,800","￥6,000代",0,1,,,,,,,,-,-,-,-,-,
1989-03-30,サンソフト,アフターバーナー,-,4,SHT,"￥6,200","￥6,000代",0,1,,,,,,,,-,-,-,-,-,
1989-03-31,タイトー,オペレーションウルフ,-,4,SHT,"￥5,900","￥6,000代",0,1,,,,,,,,-,-,-,-,-,
1989-03-31,ケムコ,シャドウゲイト,-,4,ADV,"￥6,200","￥6,000代",0,1,,デヴィッド・マーシュ|カール・ローロフス,,,,,スコット・バーフィールド,-,-,-,-,-,
1989-03-31,イマジニア,松本亨の株式必勝学Ⅱ,-,5,SLG,"￥9,800","￥10,000代",0,1,,,,山科けいすけ,澤和雄,松本亨,,-,-,-,-,-,
1989-04-07,トーワチキ,ガーフィールドの一週間,-,4,ACT,"￥5,500","￥5,500代",0,1,,,イトイ・マサシ,,,,,-,-,-,-,-,
1989-04-14,ナムコ,ドラゴンスピリット新たなる伝説,-,4,SHT,"￥5,200","￥5,000代",0,1,,YOKO BOSS,田中京太,OJISAN TRIO PLUS 1|石川達也|MACCHAN|ARAKAWA DA!,細江慎治,,,-,-,-,-,-,
1989-04-18,ナムコ,マインドシーカー,-,4,ETC,"￥6,500","￥6,500代",0,1,,,,鈴木浩司,,,岩谷徹,-,-,-,-,-,
1989-04-20,光栄,蒼き狼と白き牝鹿ジンギスカン,-,5,SLG,"￥9,800","￥10,000代",0,1,,,,,菅野よう子,,シブサワ・コウ,-,-,-,-,-,
