🕑プレイ時間,タイプ,LV,調子,出現地方,モンスター名,系統,未使用,カウント,HP,MP,⚔️攻撃力,🛡️守備力,🏃‍♂️素早さ,💡賢さ,🏃‍♂️身かわし,💰経験値,💰GOLD,行動,🪄魔法,🏃‍♂️逃げるか？,仲間をよぶか？,🎁ドロップアイテム,🎁アイテムの入手確率※,耐性※
2009-01-02,⚔️️戦士系,11,-,アッサラーム周辺,あばれザル⚔️️(11),未分類,0,1,60,0,55,40,21,1,0,60,30,痛恨の一撃,-,いいえ,仲間を呼ぶ,🌱ちからのたね,E,炎×|ヒ○|バ×|デ×|死△|犠×|光◎|幻○|眠△|吸◎|封◎|乱△|守△|早○
2011-01-01,🪄魔法系,11,-,ピラミッド1F～6F,わらいぶくろ🪄(11),未分類,0,1,40,999,15,37,64,2,7,5,350,ふしぎなおどり,"💖ホイミ,💖ホイミ,🏃⬇️ボミオス,⚔️⬆️スクルト,⬇️マホトーン,⬇️マヌーサ",いいえ,-,🌱スタミナのたね,D,炎◎|ヒ◎|バ◎|デ×|死◎|犠×|光×|幻△|眠◎|吸◎|封×|乱○|守◎|早○
2012-01-01,⚔️️戦士系,12,-,イシス周辺（東）（夜）,ミイラおとこ⚔️️(12),未分類,0,1,35,0,55,49,19,0,0,73,25,痛恨の一撃,-,いいえ,-,🎫すごろくけん,B,炎×|ヒ×|バ×|デ×|死◎|犠×|光△|幻△|眠△|吸◎|封◎|乱×|守△|早△
2012-01-02,🪄魔法系,12,-,イシス周辺（東）,じごくのハサミ🪄(12),未分類,0,1,40,30,50,110,19,1,0,78,23,-,⚔️⬆️スクルト,いいえ,-,🛡️せいどうのたて,D,炎△|ヒ×|バ×|デ×|死△|犠×|光◎|幻○|眠△|吸◎|封△|乱△|守×|早△
2013-01-01,🪄魔法系,13,-,ポルトガ周辺,ドルイド🪄(13),未分類,0,1,35,10,55,47,29,1,0,82,35,-,🔥バギ,いいえ,-,🌱ラックのたね,D,炎△|ヒ△|バ△|デ×|死△|犠×|光◎|幻△|眠○|吸○|封△|乱○|守△|早○
2012-01-03,⚔️️戦士系,13,-,イシス周辺（東）,かえんムカデ⚔️️(13),未分類,0,1,45,0,45,40,20,1,0,72,35,ひのいき,-,はい,-,🌱かしこさのたね,E,炎◎|ヒ×|バ×|デ×|死△|犠×|光◎|幻△|眠○|吸◎|封◎|乱△|守△|早△
2014-01-01,⚔️️戦士系,13,-,ピラミッドB2～B1・3F～6F,マミー⚔️️(13),未分類,0,1,55,30,60,35,20,1,0,82,36,痛恨の一撃,-,いいえ,くさったしたいを呼ぶ,💊せいすい,D,炎×|ヒ×|バ○|デ×|死◎|犠×|光△|幻○|眠○|吸×|封△|乱△|守△|早○
2015-01-01,🪄魔法系,14,-,ノルドの洞窟周辺（北）（夜）,マージマタンゴ🪄(14),未分類,0,1,40,10,43,52,20,1,0,92,40,-,"💖ホイミ,❄️ヒャド,💖ホイミ",はい,-,✨キメラのつばさ,D,炎△|ヒ○|バ×|デ×|死×|犠×|光◎|幻×|眠△|吸△|封△|乱△|守×|早×
2015-01-02,🪄魔法系,14,-,ノルドの洞窟周辺（北）,ハンターフライ🪄(14),未分類,0,1,30,10,50,30,18,1,1,98,25,-,🔥ギラ,はい,-,👕みかわしのふく,E,炎△|ヒ×|バ×|デ×|死△|犠×|光○|幻×|眠○|吸×|封△|乱△|守×|早×
2015-01-03,🪄魔法系,14,-,ノルドの洞窟周辺（北）,デスジャッカル🪄(14),未分類,0,1,42,5,67,45,20,2,1,95,20,-,⬇️マヌーサ,いいえ,仲間を呼ぶ,💎いのちのきのみ,E,炎×|ヒ×|バ×|デ×|死△|犠×|光△|幻△|眠△|吸△|封△|乱△|守×|早×
2016-01-01,🪄魔法系,16,-,バハラタ周辺（東）,げんじゅつし🪄(16),未分類,0,1,42,10,60,46,25,2,0,128,55,-,"⬇️メダパニ,⬇️マヌーサ",はい,-,🎫すごろくけん,B,炎△|ヒ×|バ×|デ×|死△|犠×|光◎|幻△|眠△|吸○|封○|乱○|守△|早×
2015-01-04,⚔️️戦士系,15,-,ノルドの洞窟周辺（北）,ヒートギズモ⚔️️(15),未分類,0,1,37,0,50,60,24,0,1,105,28,ひのいき,-,いいえ,-,🌱ラックのたね,E,炎◎|ヒ×|バ×|デ×|死△|犠×|光◎|幻×|眠△|吸◎|封◎|乱△|守△|早△
2016-02-01,⚔️️戦士系,15,-,バハラタ周辺（西）,アントベア⚔️️(15),未分類,0,1,50,0,75,45,10,0,0,110,25,-,,はい,-,🗡️てつのやり,F,炎△|ヒ×|バ×|デ×|死△|犠×|光◎|幻△|眠○|吸◎|封◎|乱△|守△|早×
2017-01-01,🪄魔法系,14,-,エジンベア周辺,ベホマスライム🪄(14),未分類,0,1,50,999,45,50,18,0,1,278,38,-,💖ベホマ,いいえ,-,🌱スタミナのたね,E,炎△|ヒ△|バ△|デ×|死△|犠×|光◎|幻×|眠△|吸◎|封△|乱△|守△|早△
2018-01-01,🪄魔法系,17,-,ダーマ周辺（南）,マッドオックス🪄(17),未分類,0,1,60,12,65,49,28,2,0,162,45,-,🔥ギラ,はい,-,🛡️かわのたて,E,炎×|ヒ×|バ×|デ×|死△|犠×|光◎|幻△|眠△|吸×|封△|乱○|守△|早×
2019-01-01,⚔️️戦士系,16,-,バハラタ東の洞窟B1,キャットバット⚔️️(16),未分類,0,1,35,0,63,50,20,2,3,135,35,ふしぎなおどり,-,はい,仲間を呼ぶ,🧸ぬいぐるみ,E,炎×|ヒ×|バ×|デ×|死△|犠×|光△|幻△|眠△|吸◎|封◎|乱△|守△|早×
2020-01-01,🪄魔法系,30,-,バラモス城,エビルマージ🪄(30),未分類,0,1,95,999,99,85,58,2,0,1650,85,かえんのいき,"❄️マヒャド,🔥メラミ,💖ベホマ,😴ラリホー,⬇️メダパニ,⬇️マホトーン",いいえ,-,🌿せかいじゅのは,E,炎○|ヒ○|バ△|デ△|死○|犠×|光△|幻×|眠○|吸△|封○|乱◎|守△|早○
2018-01-02,🪄魔法系,18,-,ダーマ周辺（南）,キラーエイプ🪄(18),未分類,0,1,40,6,80,52,26,2,0,170,45,-,,いいえ,仲間を呼ぶ,✨キメラのつばさ,D,炎△|ヒ×|バ×|デ×|死△|犠×|光◎|幻○|眠○|吸○|封△|乱×|守△|早×
2021-01-01,🪄魔法系,19,-,ガルナの塔4F～6F,ガルーダ🪄(19),未分類,0,1,60,12,65,60,30,1,0,220,71,-,🔥ベギラマ,いいえ,-,🎫すごろくけん,B,炎×|ヒ×|バ×|デ×|死×|犠×|光◎|幻○|眠○|吸×|封△|乱×|守×|早×
2015-01-05,🪄魔法系,23,-,ノルドの洞窟周辺（北）（夜）,メタルスライム🪄(23),未分類,0,1,4,12,40,1023,47,0,0,4140,5,-,🔥メラ,はい,-,🌱すばやさのたね,C,炎◎|ヒ◎|バ◎|デ◎|死◎|犠◎|光◎|幻◎|眠◎|吸◎|封◎|乱△|守◎|早◎
2022-01-01,🪄魔法系,21,-,テドン北周辺,ゴートドン🪄(21),未分類,0,1,70,3,72,45,25,2,0,297,50,-,🏃⬇️ボミオス,はい,-,🌱ちからのたね,D,炎△|ヒ×|バ×|デ×|死△|犠×|光◎|幻△|眠△|吸×|封×|乱△|守×|早△
2019-01-02,⚔️️戦士系,17,-,バハラタ東の洞窟B1,さつじんき⚔️️(17),未分類,0,1,45,0,77,55,24,1,0,150,35,痛恨の一撃,-,いいえ,-,どくばり,D,炎×|ヒ×|バ×|デ×|死△|犠×|光◎|幻△|眠△|吸◎|封◎|乱△|守△|早×
2018-02-01,⚔️️戦士系,19,-,ダーマ東周辺,ベビーサタン⚔️️(19),未分類,0,1,70,0,55,33,23,0,1,100,45,つめたいいき,"🔥イオナズン,💀ザラキ,💀メガンテ",はい,-,💍いのりのゆびわ,-,炎○|ヒ○|バ△|デ×|死○|犠×|光◎|幻×|眠◎|吸◎|封×|乱×|守×|早×
2023-01-01,🪄魔法系,22,-,スー周辺,きめんどうし🪄(22),未分類,0,1,80,22,53,43,56,1,1,343,48,"様子を見る,様子を見る,様子を見る,様子を見る","⬇️メダパニ,💖ベホイミ,⬇️メダパニ",いいえ,-,🎫すごろくけん,B,炎△|ヒ△|バ△|デ×|死○|犠×|光◎|幻○|眠○|吸○|封○|乱○|守○|早△
2024-01-01,⚔️️戦士系,25,-,ピラミッド1F（宝箱）,ひとくいばこ⚔️️(25),未分類,0,1,120,0,200,55,67,0,2,137,60,"あまいいき,痛恨の一撃",-,いいえ,-,-,-,炎○|ヒ△|バ△|デ△|死○|犠×|光◎|幻○|眠○|吸◎|封◎|乱△|守△|早△
2025-01-01,⚔️️戦士系,24,-,アープの塔1F～5F,エリミネーター⚔️️(24),未分類,0,1,120,6,83,50,32,2,0,376,53,痛恨の一撃,⬇️マホトーン,はい,-,くさりがま,E,炎△|ヒ△|バ×|デ×|死△|犠×|光◎|幻△|眠△|吸△|封△|乱△|守△|早△
2021-02-01,⚔️️戦士系,18,-,ガルナの塔1F～6F,おおくちばし⚔️️(18),未分類,0,1,43,0,55,43,24,0,0,175,44,-,,いいえ,-,🌱かしこさのたね,D,炎×|ヒ×|バ×|デ×|死△|犠×|光◎|幻△|眠△|吸◎|封◎|乱×|守△|早△
2018-02-02,🪄魔法系,19,-,ダーマ東周辺,スライムつむり🪄(19),未分類,0,1,20,15,23,200,35,1,0,210,28,-,"❄️ヒャド,😴ラリホー",はい,ホイミスライムを呼ぶ,⚒️ひのきのぼう,C,炎◎|ヒ◎|バ◎|デ◎|死△|犠×|光△|幻×|眠◎|吸◎|封△|乱◎|守○|早×
2021-03-01,⚔️️戦士系,25,-,ガルナの塔2F～6F,スカイドラゴン⚔️️(25),未分類,0,1,80,0,80,60,40,0,0,800,180,かえんのいき,-,いいえ,-,💎いのちのきのみ,D,炎◎|ヒ×|バ×|デ×|死△|犠×|光×|幻△|眠○|吸◎|封◎|乱○|守△|早×
2026-01-01,🪄魔法系,20,-,ムオル周辺（南）（夜）,バーナバス🪄(20),未分類,0,1,58,12,79,67,28,2,1,235,52,-,"💖ベホイミ,⬇️マホトーン",いいえ,-,👕たびびとのふく,D,炎△|ヒ×|バ×|デ×|死△|犠×|光△|幻○|眠○|吸○|封○|乱△|守△|早×
2022-02-01,🪄魔法系,21,-,テドン周辺,まじょ🪄(21),未分類,0,1,54,24,51,50,30,1,0,305,52,-,"🔥ベギラマ,💖ベホイミ",いいえ,-,🍃きえさりそう,F,炎○|ヒ×|バ×|デ×|死△|犠×|光◎|幻△|眠○|吸○|封△|乱○|守△|早×
2026-02-01,🪄魔法系,20,-,ムオル周辺,デッドペッカー🪄(20),未分類,0,1,55,8,52,58,29,2,0,228,37,-,🛡️⬇️ルカナン,いいえ,-,🌱すばやさのたね,B,炎△|ヒ×|バ×|デ×|死△|犠×|光◎|幻○|眠△|吸△|封△|乱×|守△|早×
2022-01-02,⚔️️戦士系,21,-,テドン北周辺,じごくのよろい⚔️️(21),未分類,0,1,60,0,90,100,23,0,0,315,57,痛恨の一撃,-,いいえ,-,🛡️てつのよろい,D,炎○|ヒ×|バ×|デ×|死△|犠×|光◎|幻△|眠△|吸◎|封◎|乱△|守△|早×
2027-01-01,🪄魔法系,18,-,海域,マリンスライム🪄(18),未分類,0,1,38,4,47,100,28,2,0,197,35,-,⚔️⬆️スクルト,はい,-,✨キメラのつばさ,D,炎△|ヒ○|バ△|デ×|死△|犠×|光◎|幻△|眠△|吸△|封△|乱△|守△|早△
2027-01-02,⚔️️戦士系,18,-,海域,しびれくらげ⚔️️(18),未分類,0,1,40,0,55,50,35,1,1,180,38,マヒ攻撃,-,いいえ,仲間を呼ぶ,🍃まんげつそう,D,炎△|ヒ△|バ△|デ△|死△|犠×|光◎|幻△|眠△|吸◎|封◎|乱○|守×|早△
2027-01-03,🪄魔法系,20,-,海域,マーマン🪄(20),未分類,0,1,54,5,65,45,30,1,0,240,48,-,🛡️⬇️ルカナン,いいえ,-,🌱ちからのたね,E,炎△|ヒ○|バ×|デ×|死○|犠×|光◎|幻△|眠○|吸△|封△|乱△|守△|早×
2027-01-04,⚔️️戦士系,22,-,海域,だいおうイカ⚔️️(22),未分類,0,1,135,0,85,40,32,0,0,355,90,-,,いいえ,-,💎いのちのきのみ,E,炎×|ヒ○|バ×|デ×|死△|犠×|光◎|幻○|眠△|吸◎|封◎|乱△|守×|早×
2028-01-01,⚔️️戦士系,21,-,スー近海,ガニラス⚔️️(21),未分類,0,1,50,0,68,150,25,0,0,290,45,痛恨の一撃,-,いいえ,-,🛡️こうらのよろい,E,炎×|ヒ△|バ×|デ×|死△|犠×|光◎|幻△|眠△|吸◎|封◎|乱△|守×|早×
2028-01-02,🪄魔法系,21,-,スー近海,マーマンダイン🪄(21),未分類,0,1,60,12,72,50,32,1,1,263,58,-,"❄️ヒャド,💖ベホイミ",いいえ,-,🎩かわのぼうし,F,炎△|ヒ○|バ×|デ×|死○|犠×|光◎|幻△|眠○|吸△|封△|乱△|守△|早×
2027-01-05,🪄魔法系,23,-,海域,ヘルコンドル🪄(23),未分類,0,1,100,28,69,60,33,1,1,367,71,-,💫バシルーラ,いいえ,-,🎫すごろくけん,B,炎△|ヒ×|バ×|デ×|死△|犠×|光◎|幻△|眠△|吸△|封○|乱△|守×|早×
2018-01-03,⚔️️戦士系,23,-,ダーマ周辺（南）,ごうけつぐま⚔️️(23),未分類,0,1,90,0,95,40,30,0,0,440,55,-,,いいえ,-,🌱ちからのたね,D,炎×|ヒ×|バ×|デ×|死△|犠×|光◎|幻◎|眠△|吸◎|封◎|乱○|守△|早×
2016-02-02,⚔️️戦士系,16,-,バハラタ周辺（西）（夜）,くさったしたい⚔️️(16),未分類,0,1,98,0,67,16,20,0,0,120,15,様子を見る,-,いいえ,-,👕ぬののふく,D,炎×|ヒ×|バ×|デ×|死△|犠×|光△|幻◎|眠◎|吸◎|封◎|乱◎|守△|早×
2023-01-02,⚔️️戦士系,23,-,スー周辺,ビッグホーン⚔️️(23),未分類,0,1,75,0,75,55,24,0,0,353,68,あまいいき,-,いいえ,-,💊せいすい,D,炎△|ヒ△|バ×|デ×|死△|犠×|光◎|幻△|眠△|吸◎|封◎|乱△|守×|早×
2021-04-01,⚔️️戦士系,18,-,ガルナの塔2F～4F,しびれあげは⚔️️(18),未分類,0,1,40,0,62,10,30,0,1,165,35,マヒ攻撃,-,いいえ,-,🍃まんげつそう,C,炎△|ヒ×|バ×|デ×|死×|犠×|光◎|幻△|眠△|吸◎|封◎|乱×|守×|早×
2023-01-03,⚔️️戦士系,23,-,スー周辺,どくどくゾンビ⚔️️(23),未分類,0,1,80,0,65,50,23,1,0,368,25,"どく攻撃,どくのいき",-,いいえ,ゾンビマスターを呼ぶ,🍃毒消し草,D,炎×|ヒ×|バ×|デ×|死△|犠×|光△|幻△|眠◎|吸◎|封◎|乱○|守△|早△
2023-01-04,🪄魔法系,23,-,スー周辺,アカイライ🪄(23),未分類,0,1,60,16,60,52,33,1,0,372,32,-,🔥バギ,いいえ,-,-,-,炎×|ヒ×|バ△|デ×|死△|犠×|光◎|幻△|眠△|吸×|封△|乱×|守△|早×
2025-01-02,🪄魔法系,25,-,アープの塔1F～5F,キラーアーマー🪄(25),未分類,0,1,70,5,92,150,35,2,0,418,80,-,🛡️⬇️ルカナン,いいえ,-,🛡️はがねのよろい,E,炎○|ヒ×|バ△|デ×|死△|犠×|光◎|幻△|眠○|吸△|封△|乱△|守○|早△
2029-01-01,⚔️️戦士系,32,-,北方大陸（西）,デスストーカー⚔️️(32),未分類,0,1,115,0,120,55,58,1,0,940,42,痛恨の一撃,-,いいえ,仲間を呼ぶ,🪓てつのオノ,F,炎△|ヒ△|バ△|デ×|死△|犠×|光◎|幻○|眠○|吸◎|封◎|乱△|守×|早△
2030-01-01,⚔️️戦士系,24,-,ジパングの洞窟B1～B2,ようがんまじん⚔️️(24),未分類,0,1,60,0,81,40,18,0,0,417,61,"かえんのいき,ひのいき",-,いいえ,-,🌿せかいじゅのは,E,炎◎|ヒ×|バ△|デ×|死△|犠×|光◎|幻△|眠△|吸◎|封◎|乱△|守×|早△
2022-02-02,🪄魔法系,22,-,テドン周辺,シャーマン🪄(22),未分類,0,1,93,18,65,52,37,2,0,358,50,-,💖ベホイミ,はい,くさったしたいを呼ぶ,🌱ラックのたね,C,炎△|ヒ△|バ△|デ×|死○|犠×|光◎|幻○|眠△|吸○|封△|乱△|守△|早△
2029-02-01,🪄魔法系,12,-,北方大陸（東）,まほうおばば🪄(12),未分類,0,1,70,100,65,50,85,2,1,463,63,-,"🔥ベギラマ,💖ベホイミ,💫バシルーラ,💖ベホイミ,🔥ベギラマ,💖ベホイミ,💫バシルーラ",はい,-,🍃きえさりそう,D,炎○|ヒ○|バ×|デ×|死○|犠×|光◎|幻△|眠△|吸○|封△|乱△|守△|早△
2031-01-01,🪄魔法系,30,-,サマンオサ南の洞窟B1～B4,シャドー🪄(30),未分類,0,1,70,18,63,65,50,1,2,743,31,-,❄️ヒャダルコ,いいえ,-,🔗とげのむち,E,炎△|ヒ△|バ△|デ△|死○|犠×|光○|幻○|眠○|吸△|封△|乱△|守△|早×
2032-01-01,⚔️️戦士系,24,-,グリンラッドの島,ひょうがまじん⚔️️(24),未分類,0,1,140,0,93,54,23,0,0,405,74,"つめたいいき,あまいいき",-,いいえ,-,🎩ふしぎなぼうし,E,炎×|ヒ◎|バ△|デ×|死○|犠×|光◎|幻△|眠○|吸◎|封◎|乱△|守△|早△
2033-01-01,⚔️️戦士系,38,-,ドムドーラ周辺,キメラ⚔️️(38),未分類,0,1,80,0,120,70,68,0,1,1780,75,"かえんのいき,ひのいき,痛恨の一撃",-,いいえ,-,✨キメラのつばさ,D,炎△|ヒ×|バ×|デ×|死○|犠×|光◎|幻△|眠△|吸◎|封◎|乱△|守△|早△
2034-01-01,⚔️️戦士系,25,-,サマンオサ北東周辺,コング⚔️️(25),未分類,0,1,95,0,105,58,40,1,1,432,68,-,,いいえ,ごくらくちょうを呼ぶ,💎いのちのきのみ,D,炎△|ヒ△|バ×|デ×|死△|犠×|光◎|幻△|眠△|吸◎|封◎|乱△|守△|早△
