日付,国名,地域,💔5歳未満児の死亡数(1000人中),👶子供の数(女性1人中),平均寿命,未使用,人口密度,カウント,🏥医療費:1人当たりのGDPに対する割合%,💰所得(平均年収):ドル,輸出:1人当たりの輸出:GDPに対する割合%,輸入:1人当たりの輸出:GDPに対する割合%,💰一人当たりのGDP:ドル,📈インフレ:総GDPの年間成長率:%
2024-09-01,Burkina Faso,アフリカ,116,5.87,57.9,-,86,1,6.74,1430,19.2,29.6,575,6.81
2024-09-01,Burundi,アフリカ,93.6,6.26,57.7,-,476,1,11.6,764,8.92,39.2,231,12.3
2024-09-01,Cambodia,西太平洋,44.4,2.88,66.1,-,94,1,5.68,2520,54.1,59.5,786,3.12
2024-09-01,Cameroon,アフリカ,108,5.11,57.3,-,60,1,5.13,2660,22.2,27,1310,1.91
2024-09-01,Canada,北アメリカ,5.6,1.63,81.3,-,4,1,11.3,40700,29.1,31,47400,2.87
2024-09-01,Cape Verde,アフリカ,26.5,2.67,72.5,-,148,1,4.09,5830,32.7,61.8,3310,0.505
2024-09-01,Central African Republic,アフリカ,149,5.21,47.5,-,9,1,3.98,888,11.8,26.5,446,2.01
2024-09-01,Chad,アフリカ,150,6.59,56.5,-,14,1,4.53,1930,36.8,43.5,897,6.39
2024-09-01,Chile,南アメリカ,8.7,1.88,79.1,-,26,1,7.96,19400,37.7,31.3,12900,8.96
2024-09-01,China,西太平洋,15.7,1.59,74.6,-,149,1,5.07,9530,26.3,22.6,4560,6.94
2024-09-01,Colombia,南アメリカ,18.6,2.01,76.4,-,46,1,7.59,10900,15.9,17.8,6250,3.86
2024-09-01,Comoros,アフリカ,88.2,4.75,65.9,-,381,1,4.51,1410,16.5,51.7,769,3.87
2024-09-01,Congo Dem. Rep.,アフリカ,116,6.54,57.5,-,44,1,7.91,609,41.1,49.6,334,20.8
2024-09-01,Congo,アフリカ,63.9,4.95,60.4,-,18,1,2.46,5190,85.1,54.7,2740,20.7
2024-09-01,Costa Rica,中央アメリカ,10.2,1.92,80.4,-,102,1,10.9,13000,33.2,35,8200,6.57
2024-09-01,Cote dIvoire,アフリカ,111,5.27,56.3,-,90,1,5.3,2690,50.6,43.3,1220,5.39
2024-09-01,Croatia,ヨーロッパ,5.5,1.55,76.3,-,71,1,7.76,20100,37.6,38.1,13500,0.821
2024-09-01,Cyprus,ヨーロッパ,3.6,1.42,79.9,-,136,1,5.97,33900,50.2,57.5,30800,2.01
2024-09-01,Czech Republic,ヨーロッパ,3.4,1.51,77.5,-,133,1,7.88,28300,66,62.9,19800,-1.43
2024-09-01,Denmark,ヨーロッパ,4.1,1.87,79.5,-,138,1,11.4,44000,50.5,43.6,58000,3.22
2024-09-01,Dominican Republic,中央アメリカ,34.4,2.6,74.6,-,233,1,6.22,11100,22.7,33.3,5450,5.44
2024-09-01,Ecuador,南アメリカ,25.1,2.66,76.7,-,71,1,8.06,9350,27.9,32.4,4660,7.47
2024-09-01,Egypt,東地中海,29.1,3.19,70.5,-,112,1,4.66,9860,21.3,26.6,2600,10.1
2024-09-01,El Salvador,中央アメリカ,19.2,2.27,74.1,-,303,1,6.91,7300,26.9,46.6,2990,2.65
2024-09-01,Equatorial Guinea,アフリカ,111,5.21,60.9,-,61,1,4.48,33700,85.8,58.9,17100,24.9
2024-09-01,Eritrea,アフリカ,55.2,4.61,61.7,-,31,1,2.66,1420,4.79,23.3,482,11.6
2024-09-01,Estonia,ヨーロッパ,4.5,1.72,76,-,29,1,6.03,22700,75.1,68.7,14600,1.74
2024-09-01,Fiji,西太平洋,24.1,2.67,65.3,-,51,1,4.86,7350,57.8,63.9,3650,4.23
2024-09-01,Finland,ヨーロッパ,3,1.87,80,-,16,1,8.95,39800,38.7,37.4,46200,0.351
2024-09-01,France,ヨーロッパ,4.2,2.03,81.4,-,117,1,11.9,36900,26.8,28.1,40600,1.05
2024-09-01,Gabon,アフリカ,63.7,4.08,62.9,-,9,1,3.5,15400,57.7,18.9,8750,16.6
2024-09-01,Gambia,アフリカ,80.3,5.71,65.5,-,246,1,5.69,1660,23.8,42.7,562,4.3
2024-09-01,Georgia,ヨーロッパ,16.5,1.92,72.8,-,53,1,10.1,6730,35,52.8,2960,8.55
2024-09-01,Germany,ヨーロッパ,4.2,1.39,80.1,-,233,1,11.6,40400,42.3,37.1,41800,0.758
2024-09-01,Ghana,アフリカ,74.7,4.27,62.2,-,143,1,5.22,3060,29.5,45.9,1310,16.6
2024-09-01,Greece,ヨーロッパ,3.9,1.48,80.4,-,78,1,10.3,28700,22.1,30.7,26900,0.673
2024-09-01,Grenada,中央アメリカ,14.6,2.24,71.3,-,366,1,5.86,11200,23.8,49.2,7370,0.48
2024-09-01,Guatemala,中央アメリカ,35.4,3.38,71.3,-,166,1,6.85,6710,25.8,36.3,2830,5.14
2024-09-01,Guinea,アフリカ,109,5.34,58,-,58,1,4.93,1190,30.3,43.2,648,16.1
2024-09-01,Guinea-Bissau,アフリカ,114,5.05,55.6,-,60,1,8.5,1390,14.9,35.2,547,2.97
2024-09-01,Guyana,南アメリカ,37.6,2.65,65.5,-,4,1,5.38,5840,51.4,79.1,3040,5.73
2024-09-01,Haiti,中央アメリカ,208,3.33,32.1,-,423,1,6.91,1500,15.3,64.7,662,5.45
2024-09-01,Hungary,ヨーロッパ,6,1.25,74.5,-,109,1,7.33,22300,81.8,76.5,13100,2.33
2024-09-01,Iceland,ヨーロッパ,2.6,2.2,82,-,4,1,9.4,38800,53.4,43.3,41900,5.47
2024-09-01,India,東南アジア,58.8,2.6,66.2,-,435,1,4.05,4410,22.6,27.1,1350,8.98
2024-09-01,Indonesia,東南アジア,33.3,2.48,69.9,-,145,1,2.61,8430,24.3,22.4,3110,15.3
2024-09-01,Iran,東地中海,19.3,1.76,74.5,-,55,1,5.6,17400,24.4,19.4,6530,15.9
2024-09-01,Iraq,東地中海,36.9,4.56,67.2,-,105,1,8.41,12700,39.4,34.1,4500,16.6
2024-09-01,Ireland,ヨーロッパ,4.2,2.05,80.4,-,72,1,9.19,45700,103,86.5,48700,-3.22
2024-09-01,Israel,ヨーロッパ,4.6,3.03,81.4,-,416,1,7.63,29600,35,32.9,30600,1.77
2024-09-01,Italy,ヨーロッパ,4,1.46,81.7,-,195,1,9.53,36200,25.2,27.2,35800,0.319
2024-09-01,Jamaica,中央アメリカ,18.1,2.17,74.7,-,257,1,4.81,8000,31.3,49.6,4680,9.81
2024-09-01,Japan,西太平洋,3.2,1.39,82.8,-,326,1,9.49,35800,15,13.6,44500,-1.9
2024-09-01,Jordan,東地中海,21.1,3.66,75.8,-,127,1,8.04,9470,48.3,69,3680,8.43
2024-09-01,Kazakhstan,ヨーロッパ,21.5,2.6,68.4,-,7,1,4.29,20100,44.2,29.9,9070,19.5
2024-09-01,Kenya,アフリカ,62.2,4.37,62.8,-,93,1,4.75,2480,20.7,33.6,967,2.09
2024-09-01,Kiribati,西太平洋,62.7,3.84,60.7,-,184,1,11.3,1730,13.3,79.9,1490,1.52
2024-09-01,Kuwait,東地中海,10.8,2.21,78.2,-,242,1,2.63,75200,66.7,30.4,38500,11.2
2024-09-01,Kyrgyzstan,ヨーロッパ,29.6,3.1,68.5,-,34,1,6.18,2790,51.6,81.7,880,10
2024-09-01,Laos,西太平洋,78.9,3.15,63.8,-,32,1,4.47,3980,35.4,49.3,1140,9.2
2024-09-01,Latvia,ヨーロッパ,7.8,1.36,73.1,-,28,1,6.68,18300,53.7,55.1,11300,-0.812
2024-09-01,Lebanon,東地中海,10.3,1.61,79.8,-,512,1,7.03,16300,35.8,60.2,8860,0.238
2024-09-01,Lesotho,アフリカ,99.7,3.3,46.5,-,77,1,11.1,2380,39.4,101,1170,4.15
2024-09-01,Liberia,アフリカ,89.3,5.02,60.8,-,49,1,11.8,700,19.1,92.6,327,5.47
2024-09-01,Libya,東地中海,16.6,2.41,76.1,-,4,1,3.88,29600,65.6,42.1,12100,14.2
2024-09-01,Lithuania,ヨーロッパ,6.1,1.5,73.2,-,42,1,7.04,21100,65.3,67.2,12000,2.38
2024-09-01,Luxembourg,ヨーロッパ,2.8,1.63,81.3,-,253,1,7.77,91700,175,142,105000,3.62
2024-09-01,Macedonia,ヨーロッパ,10.4,1.47,74,-,81,1,7.09,11400,39.8,58.1,4540,2.04
2024-09-01,Madagascar,アフリカ,62.2,4.6,60.8,-,52,1,3.77,1390,25,43,413,8.79
2024-09-01,Malawi,アフリカ,90.5,5.31,53.1,-,221,1,6.59,1030,22.8,34.9,459,12.1
2024-09-01,Malaysia,西太平洋,7.9,2.15,74.5,-,104,1,4.39,21100,86.9,71,9070,7.27
2024-09-01,Maldives,東南アジア,13.2,2.23,77.9,-,1750,1,6.33,10500,77.6,65.4,7100,2.88
2024-09-01,Mali,アフリカ,137,6.55,59.5,-,19,1,4.98,1870,22.8,35.1,708,4.37
2024-09-01,Malta,ヨーロッパ,6.8,1.36,80.3,-,1700,1,8.65,28300,153,154,21100,3.83
2024-09-01,Mauritania,アフリカ,97.4,4.98,68.2,-,5,1,4.41,3320,50.7,61.2,1200,18.9
2024-09-01,Mauritius,アフリカ,15,1.57,73.4,-,657,1,6,15900,51.2,62.2,8000,1.13
2024-09-01,Micronesia Fed. Sts.,西太平洋,40,3.46,65.4,-,164,1,14.2,3340,23.5,81,2860,3.8
2024-09-01,Moldova,ヨーロッパ,17.2,1.27,69.7,-,102,1,11.7,3910,39.2,78.5,1630,11.1
2024-09-01,Mongolia,西太平洋,26.1,2.64,66.2,-,2,1,5.44,7710,46.7,56.7,2650,39.2
2024-09-01,Montenegro,ヨーロッパ,6.8,1.77,76.4,-,45,1,9.11,14000,37,62.7,6680,1.6
2024-09-01,Morocco,東地中海,33.5,2.58,73.5,-,53,1,5.2,6440,32.2,43,2830,0.976
2024-09-01,Mozambique,アフリカ,101,5.56,54.5,-,42,1,5.21,918,31.5,46.2,419,7.64
2024-09-01,Myanmar,東南アジア,64.4,2.41,66.8,-,81,1,1.97,3720,0.109,0.0659,988,7.04
2024-09-01,Namibia,アフリカ,56,3.6,58.6,-,3,1,6.78,8460,47.8,60.7,5190,3.56
2024-09-01,Nepal,東南アジア,47,2.61,68.3,-,210,1,5.25,1990,9.58,36.4,592,15.1
2024-09-01,Netherlands,ヨーロッパ,4.5,1.79,80.7,-,436,1,11.9,45500,72,63.6,50300,0.848
2024-09-01,New Zealand,西太平洋,6.2,2.17,80.9,-,20,1,10.1,32300,30.3,28,33700,3.73
2024-09-01,Niger,アフリカ,123,7.49,58.8,-,21,1,5.16,814,22.2,49.1,348,2.55
2024-09-01,Nigeria,アフリカ,130,5.84,60.5,-,249,1,5.07,5150,25.3,17.4,2330,104
2024-09-01,Norway,ヨーロッパ,3.2,1.95,81,-,14,1,9.48,62300,39.7,28.5,87800,5.95
2024-09-01,Oman,東地中海,11.7,2.9,76.1,-,15,1,2.77,45300,65.7,41.2,19300,15.6
2024-09-01,Pakistan,東地中海,92.1,3.85,65.3,-,302,1,2.2,4280,13.5,19.4,1040,10.9
2024-09-01,Panama,中央アメリカ,19.7,2.62,77.8,-,59,1,8.1,15400,70,78.2,8080,2.59
2024-09-01,Paraguay,南アメリカ,24.1,2.73,74.1,-,15,1,5.87,7290,55.1,51.5,3230,6.1
2024-09-01,Peru,南アメリカ,20.3,2.54,77.9,-,27,1,5.08,9960,27.8,23.8,5020,5.71
2024-09-01,Philippines,西太平洋,31.9,3.16,69,-,391,1,3.61,5600,34.8,36.6,2130,4.22
2024-09-01,Poland,ヨーロッパ,6,1.41,76.3,-,120,1,7.46,21800,40.1,42.1,12600,1.66
2024-09-01,Portugal,ヨーロッパ,3.9,1.39,79.8,-,111,1,11,27200,29.9,37.4,22500,0.643
2024-09-01,Qatar,東地中海,9,2.07,79.5,-,233,1,1.81,125000,62.3,23.8,70300,6.98
2024-09-01,Romania,ヨーロッパ,11.5,1.59,73.7,-,83,1,5.58,17800,32.6,38.8,8230,3.53
2024-09-01,Russian Federation,ヨーロッパ,10,1.57,69.2,-,8,1,5.08,23100,29.2,21.1,10700,14.2
2024-09-01,Rwanda,アフリカ,63.6,4.51,64.6,-,535,1,10.5,1350,12,30,563,2.61
2024-09-01,Samoa,西太平洋,18.9,4.34,71.5,-,79,1,6.47,5400,29.2,53.1,3450,1.72
2024-09-01,Saudi Arabia,東地中海,15.7,2.96,75.1,-,17,1,4.29,45400,49.6,33,19300,17.2
2024-09-01,Senegal,アフリカ,66.8,5.06,64,-,90,1,5.66,2180,24.9,40.3,1000,1.85
2024-09-01,Serbia,ヨーロッパ,7.6,1.4,74.7,-,81,1,10.4,12700,32.9,47.9,5410,5.88
2024-09-01,Seychelles,アフリカ,14.4,2.17,73.4,-,236,1,3.4,20400,93.8,108,10800,-4.21
2024-09-01,Sierra Leone,アフリカ,160,5.2,55,-,122,1,13.1,1220,16.8,34.5,399,17.2
2024-09-01,Singapore,西太平洋,2.8,1.15,82.7,-,8250,1,3.96,72100,200,174,46600,-0.046
2024-09-01,Slovak Republic,ヨーロッパ,7,1.43,75.5,-,110,1,8.79,25200,76.3,77.8,16600,0.485
2024-09-01,Slovenia,ヨーロッパ,3.2,1.57,79.5,-,105,1,9.41,28700,64.3,62.9,23400,-0.987
2024-09-01,Solomon Islands,西太平洋,28.1,4.24,61.7,-,26,1,8.55,1780,49.3,81.2,1290,6.81
2024-09-01,South Africa,アフリカ,53.7,2.59,54.3,-,49,1,8.94,12000,28.6,27.4,7280,6.35
2024-09-01,Korea,西太平洋,4.1,1.23,80.1,-,516,1,6.93,30400,49.4,46.2,22100,3.16
2024-09-01,Spain,ヨーロッパ,3.8,1.37,81.9,-,97,1,9.54,32500,25.5,26.8,30700,0.16
2024-09-01,Sri Lanka,東南アジア,11.2,2.2,74.4,-,334,1,2.94,8560,19.6,26.8,2810,22.8
2024-09-01,St. Vincent & the Grenadines,中央アメリカ,20.7,2.07,71.6,-,267,1,4.47,9920,26.9,57.1,6230,4.44
2024-09-01,Sudan,アフリカ,76.7,4.88,66.3,-,27,1,6.32,3370,19.7,17.2,1480,19.6
2024-09-01,Suriname,南アメリカ,24.1,2.52,70.3,-,4,1,7.01,14200,52.5,38.4,8300,7.2
2024-09-01,Sweden,ヨーロッパ,3,1.98,81.5,-,24,1,9.63,42900,46.2,40.7,52100,0.991
2024-09-01,Switzerland,ヨーロッパ,4.5,1.52,82.2,-,213,1,11.5,55500,64,53.3,74600,0.317
2024-09-01,Tajikistan,ヨーロッパ,52.4,3.51,69.6,-,72,1,5.98,2110,14.9,58.6,738,12.5
2024-09-01,Tanzania,アフリカ,71.9,5.43,59.3,-,71,1,6.01,2090,18.7,29.1,702,9.25
2024-09-01,Thailand,東南アジア,14.9,1.55,76.6,-,140,1,3.88,13500,66.5,60.8,5080,4.08
2024-09-01,Timor-Leste,東南アジア,62.6,6.23,71.1,-,91,1,9.12,1850,2.2,27.8,3600,26.5
2024-09-01,Togo,アフリカ,90.3,4.87,58.7,-,159,1,7.65,1210,40.2,57.3,488,1.18
2024-09-01,Tonga,西太平洋,17.4,3.91,69.9,-,144,1,5.07,4980,12.4,60.3,3550,3.68
2024-09-01,Tunisia,東地中海,17.4,2.14,76.9,-,76,1,6.21,10400,50.5,55.3,4140,3.82
2024-09-01,Turkey,ヨーロッパ,19.1,2.15,78.2,-,110,1,6.74,18000,20.4,25.5,10700,7.01
2024-09-01,Turkmenistan,ヨーロッパ,62,2.83,67.9,-,13,1,2.5,9940,76.3,44.5,4440,2.31
2024-09-01,Uganda,アフリカ,81,6.15,56.8,-,201,1,9.01,1540,17.1,28.6,595,10.6
2024-09-01,Ukraine,ヨーロッパ,11.7,1.44,70.4,-,61,1,7.72,7820,47.1,51.1,2970,13.4
2024-09-01,United Arab Emirates,東地中海,8.6,1.87,76.5,-,134,1,3.66,57600,77.7,63.6,35000,12.5
2024-09-01,United Kingdom,ヨーロッパ,5.2,1.92,80.3,-,279,1,9.64,36200,28.2,30.8,38900,1.57
2024-09-01,United States,北アメリカ,7.3,1.93,78.7,-,35,1,17.9,49400,12.4,15.8,48400,1.22
2024-09-01,Uruguay,南アメリカ,10.6,2.08,76.4,-,20,1,8.35,17100,26.3,25.4,11900,4.91
2024-09-01,Uzbekistan,ヨーロッパ,36.3,2.34,68.8,-,78,1,5.81,4240,31.7,28.5,1380,16.5
2024-09-01,Vanuatu,西太平洋,29.2,3.5,63,-,27,1,5.25,2950,46.6,52.7,2970,2.62
2024-09-01,Venezuela,南アメリカ,17.1,2.47,75.4,-,31,1,4.91,16500,28.5,17.6,13500,45.9
2024-09-01,Vietnam,西太平洋,23.3,1.95,73.1,-,298,1,6.84,4490,72,80.2,1310,12.1
2024-09-01,Yemen,東地中海,56.3,4.67,67.5,-,65,1,5.18,4480,30,34.4,1310,23.6
2024-09-01,Zambia,アフリカ,83.1,5.4,52,-,27,1,5.89,3280,37,30.9,1460,14
@CsvOptions:,,,,,,,,,,,,,,
dataType=0,,,,,,,,,,,,,,
title=🌏世界各国の社会経済指標,,,,,,,,,,,,,,
searchPrefix=SocioeconomicIndicators,,,,,,,,,,,,,,
dataReference=<ul><li><a target%3d'_blank' href%3d'https://www.kaggle.com/datasets/samira1992/countries-intermediate-dataset'>🌏 Countries- Intermediate 🗃️ Dataset@kaggle</a></li></ul>,,,,,,,,,,,,,,
editURL=https://docs.google.com/spreadsheets/d/1z8gw2dLQ8IVM81ONfp3Sli7MYg8zPaZJB1Uyo1VPEaY/edit?gid=1398617958#gid=1398617958,,,,,,,,,,,,,,
detailType=name,,,,,,,,,,,,,,
isMakeAutocompleteData=1,,,,,,,,,,,,,,
chartMap[isShow]=1,,,,,,,,,,,,,,
chartMap[mapType]=world,,,,,,,,,,,,,,
"chartMap[colors]=[[""High"",""#8c0a00"",999],["" "",""#ea5432"",499],[""  "",""#ff781d"",99],[""   "",""#ff9d57"",49],[""    "",""#ffceab"",9],[""     "",""#f5deb3"",4],[""Low"",""#dadada"",0],[""選択中"",""#ffffff"",0]]",,,,,,,,,,,,,,
chartMap[isDetailTooltip]=1,,,,,,,,,,,,,,
chartName[imagePath]=/img/world,,,,,,,,,,,,,,
chartName[imageTooltip]=all,,,,,,,,,,,,,,
chartName[isLabelAlphabet]=1,,,,,,,,,,,,,,
chartName[isHideLabelValue]=1,,,,,,,,,,,,,,
chartCity[isHidden]=0,,,,,,,,,,,,,,
chartCity[imagePath]=@tube,,,,,,,,,,,,,,
chartCity[imageTooltip]=all,,,,,,,,,,,,,,
chartCity[orderYmd]=0,,,,,,,,,,,,,,
chartDate[isHidden]=1,,,,,,,,,,,,,,
chartDate[elasticY]=0,,,,,,,,,,,,,,
chartDate[width]=1000,,,,,,,,,,,,,,
chartDate[format]=YYYY,,,,,,,,,,,,,,
chartSex[chartType]=bar,,,,,,,,,,,,,,
chartSex[unit]=null,,,,,,,,,,,,,,
chartSex[scale]=10,,,,,,,,,,,,,,
chartSex[labelSuffix]=人,,,,,,,,,,,,,,
chartSex[isLegend]=1,,,,,,,,,,,,,,
chartAge[unit]=null,,,,,,,,,,,,,,
chartAge[scale]=@round:0,,,,,,,,,,,,,,
chartAge[labelSuffix]=人,,,,,,,,,,,,,,
chartCond[scale]=4,,,,,,,,,,,,,,
chartCond[labelSuffix]=歳,,,,,,,,,,,,,,
chartJob[isHidden]=1,,,,,,,,,,,,,,
chartJobCat[isHidden]=1,,,,,,,,,,,,,,
chartEx[0][scale]=@round:0,,,,,,,,,,,,,,
chartEx[0][isLegend]=1,,,,,,,,,,,,,,
chartEx[0][labelSuffix]=％,,,,,,,,,,,,,,
chartEx[1][scale]=5000,,,,,,,,,,,,,,
chartEx[1][isLegend]=1,,,,,,,,,,,,,,
chartEx[2][scale]=10,,,,,,,,,,,,,,
chartEx[2][isLegend]=0,,,,,,,,,,,,,,
chartEx[2][labelSuffix]=％,,,,,,,,,,,,,,
chartEx[3][scale]=10,,,,,,,,,,,,,,
chartEx[3][isLegend]=0,,,,,,,,,,,,,,
chartEx[3][labelSuffix]=％,,,,,,,,,,,,,,
chartEx[4][scale]=5000,,,,,,,,,,,,,,
chartEx[4][isLegend]=0,,,,,,,,,,,,,,
chartEx[5][scale]=@round:0,,,,,,,,,,,,,,
chartEx[5][labelSuffix]=％,,,,,,,,,,,,,,
chartEx[5][isLegend]=0,,,,,,,,,,,,,,
chartEx[6][scale]=0,,,,,,,,,,,,,,
chartEx[6][isLegend]=0,,,,,,,,,,,,,,
chartEx[7][scale]=0,,,,,,,,,,,,,,
chartEx[7][isLegend]=0,,,,,,,,,,,,,,
